Company,RevenueSpeed,UserSpeed,ImpactSpeed
Instragram,,49666666.6667,
Spotify,161000000.0,4250000.0,1437500.0
Khan Academy,,1999999.6,5000000.0
Evernote,24500000.0,15900000.0,374000.0
Research Gate,,715000.0,12490000.0
Plos,5378000.0,,12770.8
Pinterest,,29800000.0,14607176.5
Global Giving,4065186.0,65082.4,17179932.6
Wikipedia,7760484.75,52625666.6667,3787049.8
Crowdflower,,968750.0,198000000.0
Shapeways,,59980.0,4166.66666667
Foursquare,,8999999.4,1372807898.33
AirBNB (2008),19685000.0,122500.0,2999964.0
Guifinet,,,3280.0
Stack Overflow,,,3700000.0
Android,474862500.0,15933333333.3,248250000.0
Kiva,2573532.5,158201.8,81350890.0
Whatsapp,,107250000.0,13000000000.0
Taskrabbit,,35900.0,800.0
Elance,87500000.0,185000.0,725000.0
Waze,,12495250.0,
Yelp,31356750.0,18452800.0,8600000.0
Meet Up,,2784000.0,24463.8
Kickstarter,7301709.5,40280.0,5333.66666667
Quora,7571000.0,546307.0,316257.0
Athena Health,71497250.0,3803.0,7964.5
Quirky,9250000.0,316000.0,131357.333333
LinkedIN,223384000.0,25620000.0,45780000.0
Arduino,250000.0,193242.4,193242.4
Ancestry,76427250.0,372777.6,2466666666.67
Facebook,1204250000.0,208000000.0,6601600000.0
Odesk,10150000.0,80000.0,775000.0
Fon,23000000.0,2160076.0,2357600.0
Dropbox,-250000000.0,34960000.0,2500000000.0
Etsy,201875000.0,5140000.0,176000.0
Sparkfun,5850000.0,,35.5
Yammer,23000000.0,1588000.0,329000.0
Survey Monkey,28666666.6667,3125000.0,11250000.0
Salesforce,379634750.0,1175000.0,17400.0
Couchsurfing,562551.5,1060000.0,3844500.0
Lendingclub,,,595234165.0
Docstoc,,8350000.0,660.0
Netflix,561155250.0,7602000.0,4007200.0
BlaBlaCar (2006),300000.0,399750.0,725000.0
We Transfer,7400000.0,14200000.0,139000000.0
Youtube,,187000000.0,975000000.0
Ebay,1405184750.0,,8825000.0
TedX,,237500000.0,9566.66666667
Makerbot,5700000.0,3166.66666667,
Crowdgather,606747.666667,4275000.0,2675000.0
23AndMe,12466666.6667,95000.0,90666.6666667
37signals,,,5.0
Huffington Post,12500000.0,,11075000.0
Change.org,,16333333.3333,240000.0
Carpooling.com,,1366666.66667,2653333.33333
Twitter,104311000.0,59178750.0,99780000.0
Hoote Suite,64000000.0,1700000.0,
Shiply,352000.0,240000.0,583928.333333
8Coupon,,813333.333333,198333.333333
Patientslikeme,,39000.0,500.0
Layar,,,11000000.0
Skype,362175000.0,47000000.0,1500000.0
DeviantArt,,4200000.0,39200000.0
ZipCar,43232750.0,117000.0,583.333333333
Shutterfly,106786000.0,1068250.0,2188250.0
Causes,,43500000.0,126666.666667
