Company,RevenueSpeed,UserSpeed,ImpactSpeed
Instragram,,50000000.0,
Spotify,256000000.0,4000000.0,1000000.0
Khan Academy,,4000000.0,0.0
Evernote,62000000.0,39000000.0,750000.0
Research Gate,,800000.0,5000000.0
Plos,9281000.0,,43166.0
Pinterest,,21300000.0,6107218.0
Global Giving,7859955.0,49706.0,10499831.5
Wikipedia,13263000.0,46000000.0,6835249.0
Crowdflower,,1500000.0,500000000.0
Shapeways,,70000.0,7500.0
Foursquare,,20000000.0,1500000000.0
AirBNB (2008),50100000.0,200000.0,5000000.0
Guifinet,,,3000.0
Stack Overflow,,,3600000.0
Android,727959555.0,18000000000.0,705000000.0
Kiva,3811501.0,263063.0,81754450.0
Whatsapp,,230000000.0,16000000000.0
Taskrabbit,,72000.0,1000.0
Elance,100000000.0,455000.0,1500000.0
Waze,,16000000.0,
Yelp,54282000.0,21692000.0,11000000.0
Meet Up,,4820000.0,62319.0
Kickstarter,11018115.0,90205.0,1802.0
Quora,9533000.0,546307.0,509014.0
Athena Health,98204000.0,4176.0,12183.0
Quirky,13000000.0,450000.0,322000.0
LinkedIN,450120000.0,14000000.0,57088000.0
Arduino,250000.0,700000.0,700000.0
Ancestry,87510172.0,275000.0,3400000000.0
Facebook,1378000000.0,134000000.0,15750000000.0
Odesk,24600000.0,360000.0,1300000.0
Fon,23000000.0,790257.0,6000000.0
Dropbox,260000000.0,75000000.0,3000000000.0
Etsy,369400000.0,6600000.0,200000.0
Sparkfun,4900000.0,,23.0
Yammer,45000000.0,1000000.0,520000.0
Survey Monkey,31500000.0,3000000.0,14000000.0
Salesforce,591400000.0,2800000.0,17000.0
Couchsurfing,562551.5,2034508.0,4960583.66667
Lendingclub,,,2000970825.0
Docstoc,,5000000.0,600.0
Netflix,404705000.0,14400000.0,1587000.0
BlaBlaCar (2006),300000.0,1200000.0,700000.0
We Transfer,7400000.0,14200000.0,139000000.0
Youtube,,100000000.0,1000000000.0
Ebay,2420000000.0,,22600000.0
TedX,,500000000.0,13500.0
Makerbot,5700000.0,5000.0,
Crowdgather,351832.0,-6000000.0,-5500000.0
23AndMe,14000000.0,170000.0,180000.0
37signals,,,-2.0
Huffington Post,10000000.0,,9900000.0
Change.org,,30000000.0,250000.0
Carpooling.com,,1400000.0,1200000.0
Twitter,210620000.0,77000000.0,160000000.0
Hoote Suite,64000000.0,2000000.0,
Shiply,352000.0,400000.0,1047991.0
8Coupon,,1500000.0,300000.0
Patientslikeme,,60000.0,500.0
Layar,,,11000000.0
Skype,570000000.0,-34333333.3333,1500000.0
DeviantArt,,5000000.0,66000000.0
ZipCar,37300000.0,32311.0,237.0
Shutterfly,167354000.0,1674000.0,3982000.0
Causes,,46000000.0,126666.666667
