Company,Connect,Collect,Empower,Enable,Share,Alpha Revenue,Alpha Impact,Alpha Users,Avg Alpha
AirBNB (2008),1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392
Android,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,,1.11796682928253
Athena Health,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694
Ebay,2,2,2,2,1,0.13087573841749,0.078476695463192,,0.104676216940341
Evernote,2,2,1.5,2,1,0.821739678607901,1.49097590485311,1.01428289462757,1.10899949269619
Facebook,1.7,2.2,2.2,2.5,2,0.742168543127874,0.95821247082997,0.39992740385105,0.700102805936298
Kickstarter,1.5,2,2,1,2.5,1.22410072924729,,0.785183305519854,1.00464201738357
Netflix,2.2,1,1.5,2,1,0.259680103798623,0.245920663775795,0.323856364076428,0.276485710550282
Odesk,1.5,2,1.5,1.5,1,0.60268518001383,0.66457845484364,,0.633631817428735
Salesforce,2,2.2,1,2,1,0.265914385523111,0.241377564189086,0.38930795131021,0.298866633674136
Skype,1.7,1,1,1.2,1,0.321300473508403,0.208446901965913,,0.264873687737158
Spotify,2.2,1,1.2,2.2,1,1.10452230470552,0.839632848922258,0.315743454314526,0.753299535980768
Wikipedia,1.5,3,2.5,3,2.7,0.443440028497411,0.187365507224263,0.123054455490112,0.251286663737262
Yammer,1.7,1.5,1.5,1.2,1,1.38440980548162,1.34953052938071,0.911077517862397,1.21500595090824
Yelp,2.2,2,1.5,1.7,2,0.602671701824613,0.481746901101943,0.392440489060718,0.492286363995758
Couchsurfing,1.5,2.2,2,1,2,,0.829179571105565,0.413142660226114,0.621161115665839
Ancestry,1.5,2.2,1.5,1,1.5,0.262993920,0.342963906,0.237489517,0.281149114
Crowdgather,1.5,2,2,1.5,1,1.015999191,,0.541539152,0.778769172
Elance,1.5,2,2,1.5,,0.296133085,0.904044134,0.632359838,0.610845685
Etsy,2,2,2,2.5,1,0.571862568,0.438403361,0.225908554,0.412058161
Kiva,1.7,2,2,1.7,1.5,0.219259330,0.442739595,0.290947857,0.317648927
LinkedIN,1.5,2.2,2.2,2,2,0.649568679,0.440595493,,0.545082086
Plos,1.5,2,1.5,2.5,2.7,0.424370409,0.616700636,,0.520535522
Shutterfly,1.7,2,1.5,1.5,1.5,0.285037906,0.198402901,0.235411638,0.239617482
Sparkfun,0.5,1,1,1,1,0.365586860,,,0.365586860
ZipCar,2.2,1,1,1.2,1,0.254611119,0.066921479,0.264052454,0.195195017
23AndMe,1.5,1.5,1.5,2,2,,0.678504779,0.563842432,0.621173605
37signals,1.5,1,1,2.5,2,,0.277996883,,0.277996883
8Coupon,2,2,2,2,1.2,,1.581776246,,1.581776246
Arduino,2.7,2.5,2.5,2.7,2.7,,0.635013987,0.635013987,0.635013987
BlaBlaCar (2006),2,2,2,1,1,,0.832845107,1.683495936,1.258170521
Crowdflower,0.5,2.2,2,1.7,1.5,,1.100209984,0.854090972,0.977150478
DeviantArt,0.5,2,1.5,1.7,1,,0.297061630,0.270562601,0.283812116
Docstoc,1.5,1.5,2,1.5,1.5,,0.361386774,0.847327396,0.604357085
Dropbox,1.7,2,1,2,2,,0.626381484,1.263454117,0.944917801
Fon,2.5,2,2,1,1,,0.735228306,0.560677454,0.647952880
Foursquare,2,2,1.5,2,1.2,,0.878885986,2.859956494,1.869421240
Global Giving,1.5,2,2,1.5,2.7,,0.387119158,0.438106090,0.412612624
Guifinet,2.8,2.2,1,,,,0.271361064,,0.271361064
Huffington Post,1.7,2,1.5,1.5,1,,0.864590260,,0.864590260
Khan Academy,1.5,1,1,2.5,2.7,,0.387280229,3.062027305,1.724653767
Lendingclub,1.5,2,2,1.2,1.7,,0.928847736,,0.928847736
Meet Up,1.7,2,2,2,,,0.364127348,0.391578572,0.377852960
Quirky,1.5,2.2,1.5,1,2,,1.452360335,1.104278072,1.278319203
Research Gate,1,2,1.5,1.2,1,,2.088187087,0.761105483,1.424646285
Shapeways,0.5,1.5,2,2.7,2,,0.821353416,1.575180440,1.198266928
Shiply,2.2,2,1,1,1,,0.649382548,0.766989533,0.708186041
Stack Overflow,1,2,2,1.7,2.7,,0.513720417,,0.513720417
Survey Monkey,1,1.5,1.2,1.5,1,,0.307025980,0.445898768,0.376462374
Twitter,2.2,2.2,2.7,1.5,2,,1.219515049,0.569000646,0.894257848
Youtube,2,2.2,2.2,2.5,2,,0.847637120,0.592508791,0.720072956
Causes,1.2,2,2,1.5,1.2,,,0.617482723,0.617482723
Change.org,1.2,2,2,2.5,2.2,,,1.294004182,1.294004182
Hoote Suite,2,2.2,1,2.5,2,,,0.872013404,0.872013404
Instragram,2,2,1.5,2.2,1,,,1.733449098,1.733449098
Makerbot,2,1,1,1,1,,,0.436734208,0.436734208
Patientslikeme,2.2,1.5,1.5,2.2,2,,,0.436489417,0.436489417
TedX,1.7,1.5,1.5,1.5,2.5,,,0.690775528,0.690775528
Waze,2,2.2,1.5,1.5,1,,,1.927703914,1.927703914
Whatsapp,2,2,1.5,1.5,2,,,1.673274060,1.673274060
