"","Company","Founded","Era","Connect","Collect","Empower","Enable","Share","Alpha.Revenue","Alpha.Impact","Alpha.Users","Avg.Alpha"
"1","23AndMe",2007,2,1.5,1.5,1.5,2,2,NA,0.678504779,0.563842432,0.621173605
"2","37signals",2000,1,1.5,1,1,2.5,2,NA,0.277996883,NA,0.277996883
"3","8Coupon",2008,3,2,2,2,2,1.2,NA,1.581776246,NA,1.581776246
"4","AirBNB (2008)",2009,3,1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392
"5","Ancestry",1984,1,1.5,2.2,1.5,1,1.5,0.26299392,0.342963906,0.237489517,0.281149114
"6","Android",2004,2,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,NA,1.11796682928253
"7","Arduino",2006,2,2.7,2.5,2.5,2.7,2.7,NA,0.635013987,0.635013987,0.635013987
"8","Athena Health",1998,1,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694
"9","BlaBlaCar (2006)",2005,2,2,2,2,1,1,NA,0.832845107,1.683495936,1.258170521
"10","Causes",2008,3,1.2,2,2,1.5,1.2,NA,NA,0.617482723,0.617482723
"11","Change.org",2008,3,1.2,2,2,2.5,2.2,NA,NA,1.294004182,1.294004182
"12","Couchsurfing",2005,2,1.5,2.2,2,1,2,NA,0.829179571105565,0.413142660226114,0.621161115665839
"13","Crowdflower",2008,3,0.5,2.2,2,1.7,1.5,NA,1.100209984,0.854090972,0.977150478
"14","Crowdgather",2009,3,1.5,2,2,1.5,1,1.015999191,NA,0.541539152,0.778769172
"15","DeviantArt",2001,1,0.5,2,1.5,1.7,1,NA,0.29706163,0.270562601,0.283812116
"16","Docstoc",2008,3,1.5,1.5,2,1.5,1.5,NA,0.361386774,0.847327396,0.604357085
"17","Dropbox",2008,3,1.7,2,1,2,2,NA,0.626381484,1.263454117,0.944917801
"18","Ebay",1996,1,2,2,2,2,1,0.13087573841749,0.078476695463192,NA,0.104676216940341
"19","Elance",1999,1,1.5,2,2,1.5,NA,0.296133085,0.904044134,0.632359838,0.610845685
"20","Etsy",2006,2,2,2,2,2.5,1,0.571862568,0.438403361,0.225908554,0.412058161
"21","Evernote",2009,3,2,2,1.5,2,1,0.821739678607901,1.49097590485311,1.01428289462757,1.10899949269619
"22","Facebook",2005,2,1.7,2.2,2.2,2.5,2,0.742168543127874,0.95821247082997,0.39992740385105,0.700102805936298
"23","Fon",2005,2,2.5,2,2,1,1,NA,0.735228306,0.560677454,0.64795288
"24","Foursquare",2010,3,2,2,1.5,2,1.2,NA,0.878885986,2.859956494,1.86942124
"25","Global Giving",2004,2,1.5,2,2,1.5,2.7,NA,0.387119158,0.43810609,0.412612624
"26","Guifinet",2005,2,2.8,2.2,1,NA,NA,NA,0.271361064,NA,0.271361064
"27","Hoote Suite",2009,3,2,2.2,1,2.5,2,NA,NA,0.872013404,0.872013404
"28","Huffington Post",2006,2,1.7,2,1.5,1.5,1,NA,0.86459026,NA,0.86459026
