Company,Founded,Era
AirBNB (2008),2009,3
Ancestry,1984,1
Android,2004,2
Athena Health,1998,1
Crowdgather,2009,3
Ebay,1996,1
Elance,1999,1
Etsy,2006,2
Evernote,2009,3
Facebook,2005,2
Kickstarter,2009,3
Kiva,2006,2
LinkedIN,2003,2
Netflix,1998,1
Odesk,2006,2
Plos,2007,2
Salesforce,2000,1
Shutterfly,2000,1
Skype,2006,2
Sparkfun,2004,2
Spotify,2007,2
Wikipedia,2002,1
Yammer,2009,3
Yelp,2005,2
ZipCar,2001,1
23AndMe,2007,2
37signals,2000,1
8Coupon,2008,3
Arduino,2006,2
BlaBlaCar (2006),2005,2
Couchsurfing,2005,2
Crowdflower,2008,3
DeviantArt,2001,1
Docstoc,2008,3
Dropbox,2008,3
Fon,2005,2
Foursquare,2010,3
Global Giving,2004,2
Guifinet,2005,2
Huffington Post,2006,2
Khan Academy,2007,2
Lendingclub,2007,2
Meet Up,2003,2
Quirky,2010,3
Research Gate,2009,3
Shapeways,2008,3
Shiply,2009,3
Stack Overflow,2009,3
Survey Monkey,2000,1
Twitter,2007,2
Youtube,2006,2
Causes,2008,3
Change.org,2008,3
Hoote Suite,2009,3
Instragram,2011,3
Makerbot,2010,3
Patientslikeme,2005,2
TedX,2010,3
Waze,2008,3
Whatsapp,2010,3
Carpooling.com,2002,1
Layar,2010,3
Outbrain,2007,2
Pinterest,2010,3
Quora,2010,3
Taskrabbit,2009,3
We Transfer,2010,3
