Company,Founded,Era,Connect,Collect,Empower,Enable,Share,Alpha.Revenue,Alpha.Impact,Alpha.Users,Avg.Alpha,RevenueSpeed,UserSpeed,ImpactSpeed
23AndMe,2007,2,1.5,1.5,1.5,2,2,NA,0.678504779,0.563842432,0.621173605,14000000,170000,180000
37signals,2000,1,1.5,1,1,2.5,2,NA,0.277996883,NA,0.277996883,NA,NA,-2
8Coupon,2008,3,2,2,2,2,1.2,NA,1.581776246,NA,1.581776246,NA,1500000,300000
AirBNB (2008),2009,3,1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392,50100000,200000,5000000
Ancestry,1984,1,1.5,2.2,1.5,1,1.5,0.26299392,0.342963906,0.237489517,0.281149114,87510172,275000,3400000000
Android,2004,2,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,NA,1.11796682928253,727959555,18000000000,705000000
Arduino,2006,2,2.7,2.5,2.5,2.7,2.7,NA,0.635013987,0.635013987,0.635013987,250000,700000,700000
Athena Health,1998,1,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694,98204000,4176,12183
BlaBlaCar (2006),2005,2,2,2,2,1,1,NA,0.832845107,1.683495936,1.258170521,300000,1200000,700000
Causes,2008,3,1.2,2,2,1.5,1.2,NA,NA,0.617482723,0.617482723,NA,46000000,126666.666667
Change.org,2008,3,1.2,2,2,2.5,2.2,NA,NA,1.294004182,1.294004182,NA,30000000,250000
Couchsurfing,2005,2,1.5,2.2,2,1,2,NA,0.829179571105565,0.413142660226114,0.621161115665839,562551.5,2034508,4960583.66667
Crowdflower,2008,3,0.5,2.2,2,1.7,1.5,NA,1.100209984,0.854090972,0.977150478,NA,1500000,500000000
Crowdgather,2009,3,1.5,2,2,1.5,1,1.015999191,NA,0.541539152,0.778769172,351832,-6000000,-5500000
DeviantArt,2001,1,0.5,2,1.5,1.7,1,NA,0.29706163,0.270562601,0.283812116,NA,5000000,66000000
