Company,Connect,Collect,Empower,Enable,Share,Alpha Revenue,Alpha Impact,Alpha Users,Avg Alpha,Year,Wave
AirBNB (2008),1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392,2009,3
Android,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,,1.11796682928253,2004,2
Athena Health,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694,1998,1
Ebay,2,2,2,2,1,0.13087573841749,0.078476695463192,,0.104676216940341,1996,1
Evernote,2,1.5,1.5,2,1,0.821739678607901,1.49097590485311,1.01428289462757,1.10899949269619,2009,3
Facebook,1.7,2.2,2.2,2.5,2,0.742168543127874,0.95821247082997,0.39992740385105,0.700102805936298,2005,2
Kickstarter,1.5,2,2,1,2.5,1.22410072924729,,0.785183305519854,1.00464201738357,2009,3
Netflix,2.2,1,1.5,2.5,1,0.259680103798623,0.245920663775795,0.323856364076428,0.276485710550282,1998,1
Odesk,1.5,2,1.5,1.5,1,0.60268518001383,0.66457845484364,,0.633631817428735,2006,2
Salesforce,2,1.5,1,2,1,0.265914385523111,0.241377564189086,0.38930795131021,0.298866633674136,2000,1
Skype,1.7,1,1,1.2,1,0.321300473508403,0.208446901965913,,0.264873687737158,2006,1
Spotify,2.2,1,1.2,2.2,1,1.10452230470552,0.839632848922258,0.315743454314526,0.753299535980768,2007,2
Wikipedia,1.5,3,2.5,3,2.7,0.443440028497411,0.187365507224263,0.123054455490112,0.251286663737262,2002,1
Yammer,1.7,1.5,1.5,1.2,1,1.38440980548162,1.34953052938071,0.911077517862397,1.21500595090824,2009,3
Yelp,2.2,2,1.5,1.7,2,0.602671701824613,0.481746901101943,0.392440489060718,0.492286363995758,2005,2
Couchsurfing,1.5,2.2,2,1,2,,0.829179571105565,0.413142660226114,0.621161115665839,2005,2
