Company,Connect,Collect,Empower,Enable,Share,Alpha Revenue,Alpha Impact,Alpha Users,Avg Alpha,Year,Wave
AirBNB (2008),2.00,3.00,2.50,3.00,1.00,1.57,2.06,1.03,1.55,2009,3
Android,3.00,3.00,2.00,3.00,2.50,1.09,1.14,,1.12,2004,2
Athena Health,2.00,1.00,2.00,3.00,1.00,0.28,0.31,0.23,0.27,1998,1
Ebay,2.00,3.00,2.50,3.00,1.00,0.13,0.08,,0.10,1996,1
Evernote,2.00,3.00,1.00,3.00,1.00,0.82,1.49,1.01,1.11,2009,3
Facebook,2.00,3.00,3.00,3.00,1.50,0.74,0.96,0.40,0.70,2005,2
Kickstarter,2.00,3.00,2.00,3.00,1.00,1.22,,0.79,1.00,2009,3
Netflix,2.00,1.00,1.00,2.00,1.00,0.26,0.25,0.32,0.28,1998,1
Odesk,2.00,3.00,2.00,3.00,1.00,0.60,0.66,,0.63,2006,2
Salesforce,2.00,2.00,2.50,3.00,1.00,0.27,0.24,0.39,0.30,2000,1
Skype,2.00,3.00,1.00,3.00,1.00,0.32,0.21,,0.26,2006,1
Spotify,2.00,1.00,1.50,3.00,1.00,1.10,0.84,0.32,0.75,2007,2
Wikipedia,2.00,3.00,3.00,3.00,3.00,0.44,0.19,0.12,0.25,2002,1
Yammer,2.00,3.00,3.00,3.00,1.50,1.38,1.35,0.91,1.22,2009,3
Yelp,2.00,3.00,1.50,3.00,1.00,0.60,0.48,0.39,0.49,2005,2
Couchsurfing,2.00,2.00,3.00,2.00,1.00,,0.83,0.41,0.62,2005,2
