Company,No Things,Personal Things,Non Personal Things,Mobile Access User,Mobile Access User Producer,No Free Use,Partial Free,Free Use,General Public,Specific Public,Open API,Closed API,Non Commercial API,Commercial API
Odesk,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0
Kiva,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,1,0.0,1,0.0
Athena Health,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,1,0.0,0.0,1
Shutterfly,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0
LinkedIN,1,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,1,0.0,0.0,1
Netflix,0.0,1,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Facebook,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0,0.0,1
Yelp,0.0,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0,0.0,1
AirBNB (2008),1,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Wikipedia,1,0.0,0.0,1,0.0,0.0,0.0,1,1,0.0,1,0.0,1,0.0
Kickstarter,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,1,1,0.0
ZipCar,0.0,0.0,1,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Evernote,0.0,1,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,1
Spotify,0.0,1,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0
Salesforce,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1,1,0.0,0.0,1
Ancestry,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Global Giving,1,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,1,0.0,1,0.0
Elance,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,1,1,0.0
Survey Monkey,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,1,1,0.0
Plos,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0
Crowdflower,1,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0
DeviantArt,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,1,0.0,0.0,0.0
23AndMe,1,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,1
Twitter,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0,1,0.0
Patientslikeme,1,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
Shiply,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Skype,1,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0
Instragram,1,0.0,0.0,1,0.0,0.0,0.0,1,1,0.0,1,0.0,1,0.0
Foursquare,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0,0.0,1
Pinterest,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0
Docstoc,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,1,1,0.0
Khan Academy,1,0.0,0.0,1,0.0,0.0,0.0,1,1,0.0,1,0.0,1,0.0
Dropbox,1,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,1
BlaBlaCar (2006),1,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,1,0.0,0.0,1
Arduino,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,1,0.0,0.0,1
Couchsurfing,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
Sparkfun,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
37signals,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,1,0.0,0.0,1
Android,0.0,0.0,1,0.0,1,1,0.0,0.0,1,0.0,1,0.0,0.0,1
Whatsapp,0.0,1,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Ebay,0.0,1,0.0,0.0,1,1,0.0,0.0,1,0.0,1,0.0,1,0.0
Makerbot,0.0,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Huffington Post,1,0.0,0.0,1,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
Etsy,0.0,1,0.0,0.0,1,1,0.0,0.0,1,0.0,1,0.0,0.0,1
Taskrabbit,1,0.0,0.0,0.0,1,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0
Quora,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0
Lendingclub,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
Carpooling.com,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
Stack Overflow,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0
Outbrain,1,0.0,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
We Transfer,1,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,1
Layar,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0.0
Waze,1,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,1,1,0.0
8Coupons,1,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0.0
Causes,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
Hoote Suite,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,1,1,0.0
Change.org,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,1,0.0
Guifinet,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1,0.0,0.0,0.0
Youtube,1,0.0,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0,0.0,1
Research Gate,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0
TedX,1,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,1,1,0.0
Meet Up,1,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,1,0.0,0.0,0.0
Yammer,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,1,0.0,1,0.0
Crowdgather,1,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0
Quirky,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
Shapeways,1,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1,0.0,0.0,1
Fon,0.0,1,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
