"","Company","No.Things","Personal.Things","Non.Personal.Things","Mobile.Access.User","Mobile.Access.User.Producer","No.Free.Use","Partial.Free","Free.Use","General.Public","Specific.Public","Open.API","Closed.API","Non.Commercial.API","Commercial.API","Existing.Asset","New.Asset","Intangible.Asset","Tangible.Asset","Economical.Value","No.Economical.Value","Centralized","Distributed","Common","Service","Money","Data","Media","Relationship","Property","Knowledge","Individual.Reward","Collective.Reward","Occupation","Access","Structure_Common","Service_Structure","Market_Structure","Platform_Structure","Founded","Era","Connect","Collect","Empower","Enable","Share","Alpha.Revenue","Alpha.Impact","Alpha.Users","Avg.Alpha","RevenueSpeed","UserSpeed","ImpactSpeed"
"1","23AndMe",1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2007,2,1.5,1.5,1.5,2,2,NA,0.678504779,0.563842432,0.621173605,1.4e+07,170000,180000
"2","37signals",1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2000,1,1.5,1,1,2.5,2,NA,0.277996883,NA,0.277996883,NA,NA,-2
"3","AirBNB (2008)",1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2009,3,1.5,2,2,1,1,1.56665905905381,2.05994053526351,1.03089526606445,1.55249828679392,50100000,2e+05,5e+06
"4","Ancestry",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1984,1,1.5,2.2,1.5,1,1.5,0.26299392,0.342963906,0.237489517,0.281149114,87510172,275000,3.4e+09
"5","Android",0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2004,2,2.5,2.5,1,3,2.5,1.09383257114834,1.14210108741672,NA,1.11796682928253,727959555,1.8e+10,7.05e+08
"6","Arduino",0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2006,2,2.7,2.5,2.5,2.7,2.7,NA,0.635013987,0.635013987,0.635013987,250000,7e+05,7e+05
"7","Athena Health",1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1998,1,2,1,1,1,1,0.280355109116981,0.30649816772556,0.233132669667542,0.273328648836694,98204000,4176,12183
"8","Causes",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2008,3,1.2,2,2,1.5,1.2,NA,NA,0.617482723,0.617482723,NA,4.6e+07,126666.666667
"9","Change.org",1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2008,3,1.2,2,2,2.5,2.2,NA,NA,1.294004182,1.294004182,NA,3e+07,250000
"10","Couchsurfing",1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2005,2,1.5,2.2,2,1,2,NA,0.829179571105565,0.413142660226114,0.621161115665839,562551.5,2034508,4960583.66667
