Company,Description,UsersPattern,UsersPattern,UsersPattern,UsersPattern,UsersPattern,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersAbsolute,UsersRelative,UsersRelative,UsersRelative,UsersRelative,UsersRelative,UsersRelative,ImpactPattern,ImpactPattern,ImpactPattern,ImpactPattern,ImpactPattern,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactAbsolute,ImpactRelative,ImpactRelative,ImpactRelative,ImpactRelative,ImpactRelative,RevenuePattern,RevenuePattern,RevenuePattern,RevenuePattern,RevenuePattern,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueAbsolute,RevenueRelative,RevenueRelative,RevenueRelative,RevenueRelative,RevenueRelative
,,2009,2010,2011,2012,2013,2008,2009,2010,2011,2012,2013,2008,2009,2010,2011,2012,2013,2009,2010,2011,2012,2013,2008,2009,2010,2011,2012,2013,2009,2010,2011,2012,2013,2008,2009,2010,2011,2012,2008,2009,2010,2011,2012,2008,2009,2010,2011,2012
Odesk,Global Job Market Place,3,1,4,1,,50,95,200,250,540,,,45,105,25,116,,1,2,2,2,4,125,450,860,1.500.000,2.700.000,3.100.000,260,91,74,80,15,,3,2,2,1,4.000.000,6.000.000,11.000.000,20.000.000,44.600.000,,50,83,82,123
Kiva ,P2P Lending Company,-,3,4,2,4,250,584.189,370.837,457.739,777.946,938.049,,,48,23,70,35,1,3,3,3,4,50.000.000,100.000.000,150.000.000,240.000.000,375.000.000,456.754.450,100,50,60,56,22,,4,4,4,4,7.100.000,9.100.000,11.515.298,13.582.629,17.394.130,,28,27,18,28
Yammer,Enterprise social network,1,3,1,2,4,60,800,1.600.000,4.000.000,7.000.000,8.000.000,,1233,100,150,75,14,1,1,1,2,,4,120,320,800,1.320.000,,2900,167,150,65,,,1,1,1,1,100,1.000.000,8.333.333,25.000.000,70.000.000,,999900,7,2,2
Athena Health,Healthcare business services,4,,3,4,,9.778,13.2,,20.824,25,,,35,,58,20,,2,4,4,4,,12,19.74,26.317,31.675,43.858,,65,33,20,38,,,4,4,4,4,136.282.000,188.527.000,237.145.000,324.067.000,422.271.000,,38,25,37,30
Shutterfly,Image publishing service,4,4,4,4,,2.789.000,3.281.000,4.069.000,5.388.000,7.062.000,,,18,24,32,31,,4,4,4,4,,7.569.000,7.891.000,9.204.000,12.340.000,16.322.000,,4,17,34,32,,,4,4,3,4,213.480.000,246.432.000,307.707.000,473.270.000,640.624.000,,15,25,54,35
LinkedIN,Social Network For Professionals,2,1,3,3,4,11.900.000,20.000.000,52.000.000,84.000.000,126.000.000,140.000.000,,68,165,52,50,17,2,2,3,4,4,30.100.000,50.000.000,90.437.000,144.974.000,201.912.000,240.000.000,66,81,60,39,19,,3,1,1,2,78.773.000,120.127.000,243.099.000,522.189.000,972.309.000,,52,102,115,86
Netflix,Online TV Channel,4,2,4,4,,9.390.000,12.268.000,20.010.000,26.253.000,33.000.000,,,35,63,31,26,,4,3,4,4,4,9.164.000,11.892.000,18.268.000,24.305.000,27.613.000,29.200.000,30,54,33,14,6,,4,4,3,4,1.364.661.000,1.670.269.000,2.162.625.000,3.204.577.000,3.609.282.000,,22,29,48,13
Facebook,Network site,1,1,1,1,,100,700,1.500.000,4.000.000,13.000.000,,,600,114,179,225,,1,2,4,4,4,130.000.000,360.000.000,608.000.000,845.000.000,1.056.000.000,1.260.000.000,177,69,39,25,19,,1,1,2,4,272.000.000,777.000.000,1.974.000.000,3.711.000.000,5.089.000.000,,186,154,88,37
RenRen,Chinese social network platform,1,4,4,4,4,33.000.000,83.000.000,110.000.000,147.000.000,178.000.000,194.000.000,,152,33,34,21,9,4,4,3,3,4,17.000.000,22.000.000,26.000.000,38.000.000,56.000.000,54.000.000,29,18,46,47,,,1,2,3,3,13.782.000,46.684.000,76.535.000,117.967.000,176.086.000,,239,64,54,49
