Company,Public,Reward,Asset,Offer,Mobile First,Monetizing
Odesk,Specific,Functional,Existing,Distributed,No,Partly Free
Kiva,Specific,Functional,Existing,Distributed,No,Partly Free
Athena Health,Specific,Functional,New,Centralized,No,
Shutterfly,General,Functional,New,Centralized,No,No Free Use
LinkedIN,Specific,Symbolic,New,Distributed,No,Partly Free
Netflix,General,Experiential,Existing,Centralized,No,No Free Use
Facebook,General,Symbolic,New,Distributed,No,Completely Free
Yelp,General,Symbolic,Existing,Distributed,No,Completely Free
AirBNB (2008),General,Functional,Existing,Distributed,No,No Free Use
Wikipedia,General,Symbolic,Existing,Distributed,No,Completely Free
Kickstarter,Specific,Functional,Existing,Distributed,No,No Free Use
ZipCar,General,Functional,New,Centralized,No,No Free Use
Evernote,General,Functional,New,Centralized,No,Partly Free
Spotify,General,Experiential,Existing,Centralized,No,Partly Free
Salesforce,Specific,Functional,New,Centralized,No,No Free Use
Ancestry,General,Symbolic,Existing,Distributed,No,Partly Free
Global Giving,General,Symbolic,Existing,Distributed,No,No Free Use
Elance,Specific,Functional,Existing,Distributed,No,No Free Use
Survey Monkey,Specific,Functional,New,Distributed,No,Partly Free
Plos,Specific,Symbolic,New,Distributed,No,Partly Free
Crowdflower,General,Functional,Existing,Distributed,No,No Free Use
DeviantArt,Specific,Symbolic,Existing,Distributed,No,Completely Free
23AndMe,General,Functional,New,Centralized,No,No Free Use
Twitter,General,Symbolic,New,Distributed,No,Completely Free
Patientslikeme,Specific,Symbolic,New,Distributed,No,Completely Free
Shiply,Specific,Functional,Existing,Distributed,No,No Free Use
Skype,General,Functional,,Centralized,No,Partly Free
Instragram,General,Symbolic,Existing,Distributed,Yes,Completely Free
Foursquare,General,Symbolic,Existing,Distributed,Yes,Completely Free
Pinterest,General,Symbolic,Existing,Distributed,No,Completely Free
Docstoc,Specific,Functional,Existing,Distributed,No,Partly Free
Khan Academy,General,Experiential,New,Centralized,No,Completely Free
Dropbox,General,Functional,Existing,Centralized,No,Partly Free
BlaBlaCar (2006),General,Functional,Existing,Distributed,No,Partly Free
Arduino,Specific,Experiential,New,Centralized,No,No Free Use
Couchsurfing,General,Functional,Existing,Distributed,No,Completely Free
Sparkfun,Specific,Functional,New,Centralized,No,No Free Use
37signals,Specific,Functional,New,Centralized,No,No Free Use
Android,General,Experiential,New,Distributed,Yes,No Free Use
Whatsapp,General,Functional,,Centralized,Yes,No Free Use
Ebay,General,Functional,Existing,Distributed,No,Partly Free
Makerbot,General,Functional,New,Centralized,No,No Free Use
Huffington Post,General,Experiential,Existing,Distributed,No,Completely Free
Etsy,General,Functional,Existing,Distributed,No,Partly Free
Taskrabbit,General,Functional,Existing,Distributed,No,No Free Use
Quora,General,Symbolic,New,Distributed,No,Completely Free
Lendingclub,Specific,Functional,Existing,Distributed,No,No Free Use
Carpooling.com,General,Functional,Existing,Distributed,No,Completely Free
Stack Overflow,Specific,Symbolic,New,Distributed,No,Completely Free
Outbrain,Specific,Functional,New,Centralized,No,No Free Use
We Transfer,General,Functional,Existing,Centralized,No,Completely Free
Layar,General,Functional,New,Centralized,Yes,Completely Free
Waze,Specific,Functional,Existing,Distributed,Yes,Completely Free
8Coupon,General,Functional,New,Distributed,No,Completely Free
Causes.com,General,Symbolic,New,Distributed,No,Completely Free
Hootesuite,Specific,Functional,Existing,Centralized,No,No Free Use
Change.org,General,Symbolic,New,Distributed,No,Completely Free
Guifinet,General,Functional,Existing,Distributed,No,Completely Free
Youtube,General,Symbolic,Existing,Distributed,No,Completely Free
Research Gate,Specific,Symbolic,New,Distributed,No,Partly Free
TedX,General,Symbolic,Existing,Distributed,No,Partly Free
Meet Up,General,Symbolic,Existing,Distributed,No,Partly Free
Yammer,Specific,Symbolic,New,Distributed,No,No Free Use
Crowdgather,Specific,Functional,Existing,Centralized,No,Partly Free
Quirky,General,Functional,New,Distributed,No,Completely Free
Shapeways,General,Functional,Existing,Distributed,No,Partly Free
