"","Structure","Input","Fit.factor","Freq"
"1","Market","CC.Media","1",0
"2","Platform","CC.Media","1",1
"3","Service","CC.Media","1",1
"4","Market","Data","1",0
"5","Platform","Data","1",0
"6","Service","Data","1",1
"7","Market","IP.Media","1",0
"8","Platform","IP.Media","1",0
"9","Service","IP.Media","1",1
"10","Market","Knowledge","1",0
"11","Platform","Knowledge","1",1
"12","Service","Knowledge","1",0
"13","Market","Money","1",0
"14","Platform","Money","1",0
"15","Service","Money","1",0
"16","Market","Property","1",1
"17","Platform","Property","1",2
"18","Service","Property","1",1
"19","Market","Relationships","1",1
"20","Platform","Relationships","1",1
"21","Service","Relationships","1",1
"22","Market","Service","1",0
"23","Platform","Service","1",0
"24","Service","Service","1",0
"25","Market","CC.Media","2",0
"26","Platform","CC.Media","2",0
"27","Service","CC.Media","2",0
"28","Market","Data","2",1
"29","Platform","Data","2",0
"30","Service","Data","2",2
"31","Market","IP.Media","2",0
"32","Platform","IP.Media","2",0
"33","Service","IP.Media","2",0
"34","Market","Knowledge","2",1
"35","Platform","Knowledge","2",1
"36","Service","Knowledge","2",1
"37","Market","Money","2",2
"38","Platform","Money","2",0
"39","Service","Money","2",0
"40","Market","Property","2",1
"41","Platform","Property","2",0
"42","Service","Property","2",0
"43","Market","Relationships","2",1
"44","Platform","Relationships","2",2
"45","Service","Relationships","2",0
"46","Market","Service","2",0
"47","Platform","Service","2",0
"48","Service","Service","2",0
"49","Market","CC.Media","3",0
"50","Platform","CC.Media","3",1
"51","Service","CC.Media","3",0
"52","Market","Data","3",2
"53","Platform","Data","3",0
"54","Service","Data","3",0
"55","Market","IP.Media","3",0
"56","Platform","IP.Media","3",0
"57","Service","IP.Media","3",1
"58","Market","Knowledge","3",1
"59","Platform","Knowledge","3",2
"60","Service","Knowledge","3",0
"61","Market","Money","3",0
"62","Platform","Money","3",0
"63","Service","Money","3",0
"64","Market","Property","3",2
"65","Platform","Property","3",2
"66","Service","Property","3",1
"67","Market","Relationships","3",0
"68","Platform","Relationships","3",0
"69","Service","Relationships","3",0
"70","Market","Service","3",0
"71","Platform","Service","3",0
"72","Service","Service","3",0
"73","Market","CC.Media","4",0
"74","Platform","CC.Media","4",2
"75","Service","CC.Media","4",1
"76","Market","Data","4",0
"77","Platform","Data","4",0
"78","Service","Data","4",0
"79","Market","IP.Media","4",0
"80","Platform","IP.Media","4",0
"81","Service","IP.Media","4",0
"82","Market","Knowledge","4",3
"83","Platform","Knowledge","4",3
"84","Service","Knowledge","4",0
"85","Market","Money","4",1
"86","Platform","Money","4",0
"87","Service","Money","4",0
"88","Market","Property","4",1
"89","Platform","Property","4",0
"90","Service","Property","4",0
"91","Market","Relationships","4",0
"92","Platform","Relationships","4",1
"93","Service","Relationships","4",0
"94","Market","Service","4",1
"95","Platform","Service","4",0
"96","Service","Service","4",0
