Company,aRevenue,Input,Structure,Output,Launched
AirBNB (2008),1.76855716,Property,Market,Occupation,2008
Ancestry,0.26299392,Data,Service,Access,1983
Android,1.093832571,Knowledge,Platform,Contribution,2003
Athena Health,0.280355109,Data,Service,Access,1997
Crowdgather,1.015999191,Relationships,Platform,Contribution,2002
Ebay,0.130875738,Property,Market,Occupation,1995
Elance,0.296133085,Knowledge,Market,Occupation,1999
Etsy,0.571862568,Property,Market,Occupation,2005
Evernote,0.821739679,CC.Media,Service,Access,2008
Facebook,0.742168543,Relationships,Platform,Contribution,2004
Kickstarter,1.224100729,Money,Market,Occupation,2009
Kiva,0.21925933,Money,Market,Occupation,2005
LinkedIN,0.649568679,Relationships,Platform,Contribution,2002
Netflix,0.259680104,IP.Media,Service,Access,1997
Odesk,0.60268518,Knowledge,Market,Occupation,2005
Plos,0.424370409,Knowledge,Platform,Contribution,2006
RenRen,0.602222167,Relationships,Platform,Contribution,2001
Salesforce,0.265914386,Relationships,Service,Access,1999
Shutterfly,0.285037906,CC.Media,Service,Access,1999
Skype,0.321300474,Relationships,Market,Occupation,2003
Sparkfun,0.36558686,Property,Platform,Contribution,2003
Spotify,1.104522305,IP.Media,Service,Access,2006
Wikipedia,0.443440028,Knowledge,Platform,Contribution,2001
Yammer,1.384409805,Relationships,Platform,Contribution,2008
Yelp,0.602671702,Knowledge,Market,Occupation,2004
ZipCar,0.254611119,Property,Service,Access,2000
