Company,aUsers,Input,Structure,Output,Launched
23AndMe,0.563842432,Data,Market,Occupation,2006
AirBNB (2008),1.030895266,Property,Market,Occupation,2008
Ancestry,0.247404134,Data,Service,Access,1983
Arduino,0.635013987,Knowledge,Platform,Contribution,2005
Athena Health,0.23313267,Data,Service,Access,1997
BlaBlaCar (2006),1.683495936,Property,Market,Occupation,2004
Change.org,1.262396027,Service,Market,Occupation,2007
Couchsurfing,0.436447465,Property,Platform,Contribution,2004
Crowdflower,0.854090972,Service,Market,Occupation,2007
Crowdgather,0.541539152,Relationships,Platform,Contribution,2002
DeviantArt,0.270562601,CC.Media,Platform,Contribution,2000
Docstoc,0.847327396,Data,Market,Occupation,2007
Dropbox,1.263454117,Data,Market,Occupation,2008
Elance,0.538359112,Knowledge,Market,Occupation,1999
Etsy,0.684611144,Property,Market,Occupation,2005
Evernote,0.984620128,CC.Media,Service,Access,2008
Facebook,1.147803821,Relationships,Platform,Contribution,2004
Foursquare,1.341004545,CC.Media,Platform,Contribution,2009
Global Giving,0.54506731,Money,Market,Occupation,2002
Instragram,1.733449098,CC.Media,Platform,Contribution,2010
Kiva,0.275467062,Money,Market,Occupation,2005
Makerbot,0.436734208,Property,Service,Access,2009
Meet Up,0.38440201,Relationships,Market,Occupation,2002
Netflix,0.327451056,IP.Media,Service,Access,1997
Patientslikeme,0.436489417,Data,Platform,Contribution,2004
RenRen,0.326729544,Relationships,Platform,Contribution,2001
Research Gate,0.761105483,Knowledge,Platform,Contribution,2008
Salesforce,0.389307951,Relationships,Service,Access,1999
Shapeways,1.57518044,Property,Platform,Contribution,2008
Shiply,0.766989533,Property,Market,Occupation,2008
Shutterfly,0.235411638,CC.Media,Service,Access,1999
Skype,0.356474904,Relationships,Market,Occupation,2003
Spotify,0.315743454,IP.Media,Service,Access,2006
Survey Monkey,0.445898768,Data,Service,Access,1999
TedX,0.690775528,Knowledge,Platform,Contribution,2009
Twitter,0.569000646,CC.Media,Platform,Contribution,2006
Waze,1.927703914,Knowledge,Platform,Contribution,2007
Whatsapp,1.601273514,Relationships,Market,Occupation,2009
Wikipedia,0.123054455,Knowledge,Platform,Contribution,2001
Yammer,0.911077518,Relationships,Platform,Contribution,2008
Yelp,0.73045222,Knowledge,Market,Occupation,2004
Youtube,0.592508791,CC.Media,Platform,Contribution,2005
ZipCar,0.264052454,Property,Service,Access,2000
