,Company,Asset.1,Asset.2,Asset.3,Asset.4,Structure,Access.1,Access.2,Access.3,Reward,Founded,Alpha.Impact,Alpha.Users,Alpha.Revenue
1,23AndMe,New,Intangible,No economical value,Distributed,Service,PC First,No Free Use,General,Functional,2007,0.678504779,0.563842432,
2,37signals,New,Intangible,No economical value,Distributed,Service,PC First,No Free Use,Specific,Functional,2000,0.277996883,,
3,8Coupons,New,Tangible,Economical Value,Distributed,Service,PC First,Completely Free,General,Functional,2008,,,
4,AirBNB (2008),Existing,Tangible,Economical Value,Distributed,Market,PC First,No Free Use,General,Functional,2009,2.523547464,1.030895266,1.76855716
5,Ancestry,Existing,Intangible,No economical value,Distributed,Platform,PC First,Partly Free,General,Symbolic,1984,0.342963906,0.247404134,0.26299392
6,Android,New,Intangible,No economical value,Centralized,Platform,Mobile First,No Free Use,General,Experiential,2004,1.142101087,,1.093832571
7,Arduino,New,Tangible,Economical Value,Distributed,Platform,PC First,No Free Use,Specific,Experiential,2006,0.635013987,0.635013987,
8,Athena Health,New,Intangible,No economical value,Centralized,Service,PC First,No Free Use,Specific,Functional,1998,0.306498168,0.23313267,0.280355109
9,BlaBlaCar (2006),Existing,Tangible,Economical Value,Centralized,Market,PC First,Partly Free,General,Functional,2005,0.832845107,1.683495936,
10,Carpooling.com,Existing,Tangible,Economical Value,Distributed,Market,PC First,Completely Free,General,Functional,2002,,,
11,Causes.com,New,Intangible,No economical value,Centralized,Market,PC First,Completely Free,General,Symbolic,2008,,,
12,Change.org,New,Intangible,No economical value,Distributed,Market,PC First,Completely Free,General,Symbolic,2008,,1.294004182,
13,Couchsurfing,Existing,Tangible,No economical value,Centralized,Platform,PC First,Completely Free,General,Functional,2005,0.829179571,0.41314266,
14,Crowdflower,Existing,Intangible,Economical Value,Distributed,Market,PC First,No Free Use,General,Functional,2008,1.100209984,0.854090972,
15,Crowdgather,Existing,Intangible,No economical value,Distributed,Platform,PC First,Partly Free,Specific,Functional,2009,,0.541539152,1.015999191
16,DeviantArt,Existing,Intangible,No economical value,Centralized,Platform,PC First,Completely Free,Specific,Symbolic,2001,0.29706163,0.270562601,
17,Docstoc,Existing,Intangible,Economical Value,Centralized,Market,PC First,Partly Free,Specific,Functional,2008,0.346335272,0.847327396,
18,Dropbox,Existing,Intangible,No economical value,Distributed,Service,PC First,Partly Free,General,Functional,2008,0.626381484,1.263454117,
19,Ebay,Existing,Tangible,Economical Value,Centralized,Market,PC First,Partly Free,General,Functional,1996,0.078476695,,0.130875738
20,Elance,Existing,Intangible,Economical Value,Distributed,Market,PC First,No Free Use,Specific,Functional,1999,0.893785475,0.538359112,0.296133085
21,Etsy,Existing,Tangible,Economical Value,Distributed,Market,PC First,Partly Free,General,Functional,2006,0.438403361,0.684611144,0.571862568
