Company,Launched
Odesk,2005
Kiva,2005
Yammer,2008
Athena Health,1997
Shutterfly,1999
LinkedIN,2002
Netflix,1997
Facebook,2004
RenRen,2001
Yelp,2004
AirBNB (2008),2008
Wikipedia,2001
Kickstarter,2009
ZipCar,2000
Evernote,2008
Spotify,2006
Salesforce,1999
Ancestry,1983
Global Giving,2002
Quirky,2009
Alpe d'Huzes,
Crowdgather,2002
Elance,1999
Survey Monkey,1999
Plos,2006
Crowdflower,2007
DeviantArt,2000
Youtube,2005
Research Gate,2008
Baidu,
TedX,2009
Alibaba Group,
Meet Up,2002
23AndMe,2006
Twitter,2006
Patientslikeme,2004
Shiply,2008
Skype,2003
Instragram,2010
Shapeways,2008
Foursquare,2009
Pinterest,2010
Khan Academy,2006
Docstoc,2007
Dropbox,2008
BlaBlaCar (2006),2004
Arduino,2005
Couchsurfing,2004
Sparkfun,2003
37signals,1999
Android,2003
Whatsapp,2009
Ebay,1995
Makerbot,2009
Huffington Post,2005
Etsy,2005
Taskrabbit,2008
Fon,2005
Quora,2009
Lendingclub,2006
Carpooling.com,2001
Stack Overflow,2008
Outbrain,2006
We Transfer,2009
Layar,2009
Waze,2007
Guifinet,2003
Change.org,2007
Hoote Suite,2008
Causes,2007
8Coupon,2007
