"","Company","Fit.factor","Input","Structure","Output"
"1","23AndMe","3","Data","Market","Occupation"
"2","37signals","1","Property","Platform","Contribution"
"3","8Coupon","4","Knowledge","Market","Occupation"
"4","AirBNB (2008)","4","Property","Market","Occupation"
"5","Ancestry","2","Data","Service","Access"
"6","Android","4","Knowledge","Platform","Contribution"
"7","Arduino","3","Knowledge","Platform","Contribution"
"8","Athena Health","1","Data","Service","Access"
"9","BlaBlaCar (2006)","3","Property","Market","Occupation"
"10","Couchsurfing","3","Property","Platform","Contribution"
"11","Crowdflower","4","Service","Market","Occupation"
"12","DeviantArt","1","CC.Media","Platform","Contribution"
"13","Docstoc","2","Data","Market","Occupation"
"14","Dropbox","3","Data","Market","Occupation"
"15","Ebay","1","Property","Market","Occupation"
"16","Elance","4","Knowledge","Market","Occupation"
"17","Etsy","2","Property","Market","Occupation"
"18","Evernote","4","CC.Media","Service","Access"
"19","Facebook","2","Relationships","Platform","Contribution"
"20","Fon","3","Property","Service","Access"
"21","Foursquare","4","CC.Media","Platform","Contribution"
"22","Global Giving","2","Money","Market","Occupation"
"23","Guifinet","1","Property","Platform","Contribution"
"24","Huffington Post","4","Knowledge","Market","Occupation"
"25","Khan Academy","2","Knowledge","Service","Access"
"26","Kiva","2","Money","Market","Occupation"
"27","Lendingclub","4","Money","Market","Occupation"
"28","LinkedIN","2","Relationships","Platform","Contribution"
"29","Meet Up","2","Relationships","Market","Occupation"
"30","Netflix","1","IP.Media","Service","Access"
"31","Odesk","3","Knowledge","Market","Occupation"
"32","Plos","3","Knowledge","Platform","Contribution"
"33","Quirky","4","Knowledge","Platform","Contribution"
"34","RenRen","1","Relationships","Platform","Contribution"
"35","Research Gate","4","Knowledge","Platform","Contribution"
"36","Salesforce","1","Relationships","Service","Access"
"37","Shapeways","3","Property","Platform","Contribution"
"38","Shiply","3","Property","Market","Occupation"
"39","Shutterfly","1","CC.Media","Service","Access"
"40","Skype","1","Relationships","Market","Occupation"
"41","Spotify","3","IP.Media","Service","Access"
"42","Stack Overflow","2","Knowledge","Platform","Contribution"
"43","Survey Monkey","2","Data","Service","Access"
"44","Twitter","4","CC.Media","Platform","Contribution"
"45","Wikipedia","1","Knowledge","Platform","Contribution"
"46","Yammer","4","Relationships","Platform","Contribution"
"47","Yelp","2","Knowledge","Market","Occupation"
"48","Youtube","3","CC.Media","Platform","Contribution"
"49","ZipCar","1","Property","Service","Access"
