Company,Asset.1,Asset.2,Asset.3,Asset.4,Structure ,Access.1,Access.2,Access.3,Reward,Founded
Odesk,Existing,Intangible,Economical Value,Distributed,Market,PC First,Partly Free,Specific,Functional,2006
Kiva,Existing,Tangible,Economical Value,Centralized,Market,PC First,Partly Free,Specific,Functional,2006
Athena Health,New,Intangible,No economical value,Centralized,Service,PC First,No Free Use,Specific,Functional,1998
Shutterfly,New,Tangible,No economical value,Distributed,Service,PC First,No Free Use,General,Functional,2000
LinkedIN,New,Intangible,No economical value,Centralized,Platform,PC First,Partly Free,Specific,Symbolic,2003
Netflix,Existing,Intangible,Economical Value,Distributed,Service,PC First,No Free Use,General,Experiential,1998
Facebook,New,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Symbolic,2005
Yelp,Existing,Intangible,No economical value,Distributed,Market,PC First,Completely Free,General,Symbolic,2005
AirBNB (2008),Existing,Tangible,Economical Value,Distributed,Market,PC First,No Free Use,General,Functional,2009
Wikipedia,Existing,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Functional,2002
Kickstarter,Existing,Tangible,Economical Value,Centralized,Market,PC First,No Free Use,Specific,Functional,2009
ZipCar,New,Tangible,Economical Value,Centralized,Service,PC First,No Free Use,General,Functional,2001
Evernote,New,Intangible,No economical value,Centralized,Platform,PC First,Partly Free,General,Functional,2009
Spotify,Existing,Intangible,Economical Value,Centralized,Service,PC First,Partly Free,General,Experiential,2007
Salesforce,New,Intangible,No economical value,Distributed,Service,PC First,No Free Use,Specific,Functional,2000
Ancestry,Existing,Intangible,No economical value,Distributed,Platform,PC First,Partly Free,General,Symbolic,1984
Global Giving,Existing,Tangible,Economical Value,Distributed,Market,PC First,No Free Use,General,Symbolic,2004
Elance,Existing,Intangible,Economical Value,Distributed,Market,PC First,No Free Use,Specific,Functional,1999
Survey Monkey,New,Intangible,No economical value,Distributed,Market,PC First,Partly Free,Specific,Functional,2000
Plos,New,Intangible,No economical value,Distributed,Platform,PC First,Partly Free,Specific,Symbolic,2007
Crowdflower,Existing,Intangible,Economical Value,Distributed,Market,PC First,No Free Use,General,Functional,2008
DeviantArt,Existing,Intangible,No economical value,Centralized,Platform,PC First,Completely Free,Specific,Symbolic,2001
23AndMe,New,Intangible,No economical value,Distributed,Service,PC First,No Free Use,General,Functional,2007
Twitter,New,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Symbolic,2007
Patientslikeme,New,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,Specific,Symbolic,2005
Shiply,Existing,Tangible,Economical Value,Centralized,Market,PC First,No Free Use,Specific,Functional,2009
Skype,New,Intangible,No economical value,Distributed,,PC First,Partly Free,General,Functional,2006
Instragram,Existing,Intangible,No economical value,Distributed,Platform,Mobile First,Completely Free,General,Symbolic,2011
Foursquare,Existing,Intangible,No economical value,Distributed,Platform,Mobile First,Completely Free,General,Symbolic,2010
Pinterest,Existing,Intangible,No economical value,Distributed,Platform,PC First,Completely Free,General,Symbolic,2010
Docstoc,Existing,Intangible,Economical Value,Centralized,Market,PC First,Partly Free,Specific,Functional,2008
Khan Academy,New,Intangible,No economical value,Centralized,Platform,PC First,Completely Free,General,Experiential,2007
Dropbox,Existing,Intangible,No economical value,Distributed,Service,PC First,Partly Free,General,Functional,2008
BlaBlaCar (2006),Existing,Tangible,Economical Value,Centralized,Market,PC First,Partly Free,General,Functional,2005
Arduino,New,Tangible,Economical Value,Distributed,Platform,PC First,No Free Use,Specific,Experiential,2006
Couchsurfing,Existing,Tangible,No economical value,Centralized,Platform,PC First,Completely Free,General,Functional,2005
