;;;;;;;;;;;;;;;;
Company;Description;Users;;;;;Impact;;;;;Revenue;;;;
;;2009;2010;2011;2012;2013;2009;2010;2011;2012;2013;2008;2009;2010;2011;2012
Odesk;Global Job Market Place;3;1;4;1;;1;2;2;2;4;;3;2;2;1
Kiva ;P2P Lending Company;-;3;4;2;4;1;3;3;3;4;;4;4;4;4
Yammer;Enterprise social network;1;3;1;2;4;1;1;1;2;;;1;1;1;1
Athena Health;Healthcare business services;4;;3;4;;2;4;4;4;;;4;4;4;4
Shutterfly;Image publishing service;4;4;4;4;;4;4;4;4;;;4;4;3;4
LinkedIN;Social Network For Professionals;2;1;3;3;4;2;2;3;4;4;;3;1;1;2
Netflix;Online TV Channel;4;2;4;4;;4;3;4;4;4;;4;4;3;4
Facebook;Network site;1;1;1;1;;1;2;4;4;4;;1;1;2;4
RenRen;Chinese social network platform;1;4;4;4;4;4;4;3;3;4;;1;2;3;3
Yelp;Online review platform;2;2;2;3;2;1;2;3;2;4;;1;2;2;2
AirBNB (2008);Tourism / Hospitality;;1;1;1;3;1;1;1;1;;;1;1;1;1
Wikipedia;Digital Enclyclopedia ;;4;4;4;;4;4;4;4;;;4;2;3;3
Kickstarter;Digital crowdfunding;;;1;3;;;;1;3;;;;;1;1
ZipCar;Car Sharing Platform;;1;4;4;4;;;;1;;;4;3;4;4
Evernote;Digital Notebook;1;1;1;1;3;1;1;1;1;;;;4;2;1
Spotify;Online Music Service;;3;3;3;4;;1;1;2;4;;;1;1;1
Salesforce;Cloudcomputing;2;4;3;2;;4;4;4;;;;3;4;4;4
Ancestry;;4;4;4;3;;;3;4;3;;;4;4;3;4
Global Giving;Micro Credit Lending Club;2;2;1;;;3;2;2;;;;4;3;3;
Quirky ;Socially Developed Product Company;;;1;1;2;;;2;1;1;;;;1;1
Alpe d'Huzes;Charity Event;1;1;4;3;;;;;;;;2;1;2;2
Crowdgather;Network of online, forum based communities;;2;1;2;4;;1;1;4;4;;;1;1;4
Elance;Online platform for work;;2;4;3;3;;3;1;1;2;;3;4;4;4
Survey Monkey;Survey Monkey;;1;2;3;4;;4;3;4;4;;;2;;1
