;;;Units;;;;;;;;;;;;;;;
;;;2009;2010;2011;2012;2013;;;;;;;;;;;
Odesk;Global Job Market Place;2;260;91;74;80;15;;;;;;;;;;;
Kiva ;P2P Lending Company;3;100;50;60;56;22;;;;;;;;;;;
Yammer;Enterprise social network;68;2900;167;150;65;;;;;;;;;;;;
Athena Health;Healthcare business services;4;65;33;20;38;;;;;;;;;;;;
Shutterfly;Image publishing service;5;4;17;34;32;;;;;;;;;;;;
LinkedIN;Social Network For Professionals;6;66;81;60;39;19;;;;;;;;;;;
Netflix;Online TV Channel;7;30;54;33;14;6;;;;;;;;;;;
Facebook;Network site;8;177;69;39;25;19;;;;;;;;;;;
RenRen;Chinese social network platform;69;29;18;46;47;;;;;;;;;;;;
Yelp;Online review platform;9;125;67;47;64;17;;;;;;;;;;;
AirBNB (2008);Tourism / Hospitality;10;58233;400;490;223;;;;;;;;;;;;
Wikipedia;Digital Enclyclopedia ;11;31;29;14;12;;;;;;;;;;;;
Kickstarter;Digital crowdfunding;12;;;203;53;;;;;;;;;;;;
ZipCar;Car Sharing Platform;13;;;8;10;;;;;;;;;;;;
Evernote;Digital Notebook;14;783;470;273;100;;;;;;;;;;;;
Spotify;Online Music Service;15;;160;362;67;20;;;;;;;;;;;
Salesforce;Cloudcomputing;16;22;38;20;;;;;;;;;;;;;
Ancestry;;17;;50;33;43;;;;;;;;;;;;
Global Giving;Micro Credit Lending Club;18;56;88;72;;;;;;;;;;;;;
Quirky ;Socially Developed Product Company;71;;;99;561;413;;;;;;;;;;;
Alpe d'Huzes;Charity Event;19;;;;;;;;;;;;;;;;
Crowdgather;Network of online, forum based communities;70;;165;233;19;;;;;;;;;;;;
Elance;Online platform for work;20;;60;306;131;90;;;;;;;;;;;
Survey Monkey;Survey Monkey;21;;25;60;28;27;;;;;;;;;;;
Plos;Open Source Journal;22;57;53;104;70;184;;;;;;;;;;;
Crowdflower;Online P2P task platform;23;;525;100;200;167;;;;;;;;;;;
DeviantArt;Online artwork community;24;62;73;4;24;37;;;;;;;;;;;
Youtube;Video Sharing website ;62;900;100;50;33;;;;;;;;;;;;
Research Gate;Online network for science and research;63;;50;44900;67;11;;;;;;;;;;;
Baidu;Chinese search engine;64;12;30;18;22;47;;;;;;;;;;;
TedX;Video Conference Website;65;;;892;28;82;;;;;;;;;;;
Alibaba Group;;66;48;;;;;;;;;;;;;;;
Meet Up;Facilitate off line groups meetings;67;50;127;;;150;;;;;;;;;;;
23AndMe;Provides rapid genetic testing;25;;;40;125;133;;;;;;;;;;;
Twitter;Social Micro Blogging website;26;;;115;143;47;;;;;;;;;;;
Patientslikeme;Platform people physical problems;27;;;;;33;;;;;;;;;;;
Shiply;Transporting ;28;;;69;100;89;;;;;;;;;;;
Skype;Online Communicating Platform;29;26;21;;;;;;;;;;;;;;
Instragram;Photo Application;30;;;;;;;;;;;;;;;;
Shapeways;3D Printing Company;72;;;300;50;67;;;;;;;;;;;
Foursquare;Locations Based Services;31;;;97;300;50;;;;;;;;;;;
Pinterest;Photo-sharing website ;32;;;;5528;26;;;;;;;;;;;
Docstoc;File Sharing Website;33;43;100;30;31;6;;;;;;;;;;;
Khan Academy ;Online education program;34;;160;54;25;;;;;;;;;;;;
Dropbox;File Sharing Cloud;35;;;;100;75;;;;;;;;;;;
BlaBlaCar (2006);Travelling / Mobility ;36;;400;220;44;30;;;;;;;;;;;
Arduino;OSHW project;37;84;36;77;100;;;;;;;;;;;;
Couchsurfing;Hospitality / Tourism;38;80;;;;;;;;;;;;;;;
Sparkfun;OSHW webshop;39;;;38;19;;;;;;;;;;;;
37signals;Web Application Company;40;25;67;36;;;;;;;;;;;;;
Android ;Application Platform;41;;843;260;24;239;;;;;;;;;;;
Whatsapp;Application ;42;;;;1000;145;;;;;;;;;;;
Ebay;E-Commerce Website;43;3;5;6;23;;;;;;;;;;;;
Makerbot;Desktop 3D printing;44;;;;;;;;;;;;;;;;
Huffington Post;Online News Aggregretor;45;650;;;26;;;;;;;;;;;;
Etsy;E-Commerce Website;46;;;;100;25;;;;;;;;;;;
Taskrabbit;Online p2p platform;47;;;;67;;;;;;;;;;;;
Fon ;"""Flexible"" Wifi provider";48;372;235;19;25;;;;;;;;;;;;
Quora;Questions and Answers;49;;;77;180;;;;;;;;;;;;
Lendingclub;P2P Lending Company;50;209;164;128;117;;;;;;;;;;;;
Carpooling.com;Ride Sharing;51;;;;;;;;;;;;;;;;
Stack Overflow;Questions and Answers;52;;114;72;65;27;;;;;;;;;;;
Outbrain;Content recommendation service;53;;;;;;;;;;;;;;;;
We Transfer;Digital filesending website;54;;;;214;;;;;;;;;;;;
Layar;Augmented Reality App;55;;;;61;;;;;;;;;;;;
Waze;Navigation Application;56;;;;;;;;;;;;;;;;
Guifinet;Free, Open, neutral wireless community network;61;57;20;42;27;16;;;;;;;;;;;
Change.org;Platform for social change;60;;;;192;71;;;;;;;;;;;
Hoote Suite;Social Media Dashboard;59;;;;;;;;;;;;;;;;
Causes;Platform for social change;58;;;;;;;;;;;;;;;;
8Coupon;Coupon aggregator;57;300;100;;;;;;;;;;;;;;
