"","ImpactRelative","CrowdSourced","Centralized","Money","Property","Knowledge","Services","Media","Data","Relationships","Service","Market","Platform","Commons","Redistribution","Breaktrough","Producer"
"1",NA,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"2",133,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"3",NA,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"4",40,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"5",125,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"6",NA,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
"7",NA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"8",25,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"9",NA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"10",67,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"11",36,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"12",NA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"13",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"14",300,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"15",100,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"16",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"17",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"18",NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"19",490,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
"20",NA,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
"21",58233,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
"22",400,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
"23",NA,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
"24",223,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
"25",NA,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"26",48,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"27",NA,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"28",NA,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"29",NA,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"30",NA,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"31",NA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"32",NA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"33",NA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"34",NA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"35",NA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"36",NA,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"37",33,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"38",NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"39",NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"40",50,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"41",43,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"42",NA,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"43",NA,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"44",260,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"45",NA,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"46",843,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"47",24,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"48",239,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
"49",100,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"50",NA,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"51",NA,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"52",84,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"53",36,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"54",77,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
"55",65,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"56",33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"57",NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
