Company,Description,companyId,CrowdSourced,Centralized,Money,Property ,Knowledge,Service,Media, Data ,Relationships,Services,Market ,Platform,Commons,Redistribution ,Breaktrough,Producer 
Odesk,Global Job Market Place,2,1,,,,1,1,,,,,1,,,1,,1
Kiva ,P2P Lending Company,3,1,,1,,,,,1,,,1,,,1,,
Athena Health,Healthcare business services,4,,1,,,,,,,,1,,,,,1,
Shutterfly,Online Photo Service,5,,1,,,,,1,,,1,,,,,1,
LinkedIN,Social Network For Professionals,6,1,,,,1,,1,1,1,,,1,,,1,
Netflix,Online TV Service,7,,1,,,,,1,,,1,,,,,1,
Facebook,Network site,8,1,,,,,,1,1,1,,1,,,,,1
Yelp,Online review platform,9,1,,,,1,,,,,,1,,,,,1
AirBNB (2008),Tourism / Hospitality,10,1,,,1,,,,,1,,1,1,,1,,
Wikipedia,Digital Enclyclopedia ,11,1,,,,1,,,1,,,,1,1,,,
Kickstarter,Digital crowdfunding,12,1,,1,,,,,,1,,,1,,1,,
ZipCar,Car Sharing Platform,13,,1,,,,,,,,1,,,,1,1,
Evernote,Digital Notebook,14,1,,,,1,,1,,,1,,1,,,1,1
Spotify,Online Music Service,15,1,,,,,,1,,,1,,,,,1,
Salesforce,Cloudcomputing,16,1,,,,,,,,1,1,,1,,,1,
Ancestry,For Profit Genealogy Company ,17,,1,,,,,,1,,1,,,,,1,
Global Giving,Micro Credit Lending Club,18,1,,1,,,,,,,,1,,,1,,1
Alpe d'Huzes,Charity Event,19,1,,1,,,1,,,,1,,,,,,
Elance,Online platform for work,20,1,,,,1,,,,,,1,,,1,,1
Survey Monkey,Survey Monkey,21,,1,,,1,,,1,,1,,,,,1,
Plos,Open Source Journal,22,1,,,,1,,,1,,,,1,1,,,
Crowdflower,Online P2P task platform,23,1,,,,,1,,,,,1,,,1,,1
DeviantArt,Online artwork community,24,1,,,,,,1,1,,,,1,,,,1
23AndMe,Provides rapid genetic testing,25,,1,1,1,,,,1,,1,,,,,1,
Twitter,Social Micro Blogging website,26,1,,,,1,,1,1,1,,,1,,,,1
Patientslikeme,Platform people physical problems,27,1,,,,1,,,1,1,,1,,,,,1
Shiply,Transporting ,28,,1,,1,,,,,,,1,,,1,1,
Skype,Online Communicating Platform,29,1,,,,,,1,,1,1,,,,,1,
Instragram,Photo Application,30,1,,,,,,1,1,1,,1,,,,,1
Foursquare,Locations Based Services,31,1,,,1,,,,1,,,,1,,,,1
Pinterest,Photo-sharing website ,32,1,,,,,,1,1,1,,,1,,,,1
Docstoc,File Sharing Website,33,1,,,,,,,1,,1,,,,,1,
Khan Academy ,Online education program,34,,1,,,1,,1,,,1,,,,,1,
Dropbox,File Sharing Cloud,35,1,,,1,,,,1,,1,,,,,1,
BlaBlaCar (2006),Travelling / Mobility ,36,1,,,1,,1,,,1,,,1,,1,,
Arduino,OSHW project,37,1,,,,1,1,,,,,,1,1,,,1
Couchsurfing,Hospitality / Tourism,38,1,,,1,,,,,1,,,1,,1,,
Sparkfun,OSHW webshop,39,,1,,,,,,,,1,,,,,1,
37signals,Web Application Company,40,1,,,,,,,,1,1,,,,,1,
Android ,Application Platform,41,1,,,,,,,1,,,,1,,1,,1
Whatsapp,Application ,42,1,,,,,,1,1,1,,1,,,,1,
Ebay,E-Commerce Website,43,1,,,1,,,,,,,1,,,1,,
Makerbot,Desktop 3D printing,44,,1,,1,,,,,,1,,,,1,1,1
Huffington Post,Online News Aggregretor,45,,1,,,,,1,,,,,,,,,
Etsy,E-Commerce Website,46,1,,,1,,,,,,,1,,,1,,1
Taskrabbit,Online p2p platform,47,1,,,,,1,,,,,1,,,1,,1
Fon ,"""Flexible"" Wifi provider",48,1,,,1,,,,,,1,,,,,1,
Quora,Questions and Answers,49,1,,,,1,1,,,1,,,1,1,,,1
Lendingclub,P2P Lending Company,50,1,,1,,,,,1,,,1,,,1,,
Carpooling.com,Ride Sharing,51,1,,,1,,1,,,1,,,1,,1,,
Stack Overflow,Questions and Answers,52,1,,,,1,,,,1,,,1,,,,1
Outbrain,Content recommendation service,53,,1,,,,,1,,,1,,,,,1,
We Transfer,Digital filesending website,54,1,,,,,,,1,,1,,,,,1,
Layar,Augmented Reality App,55,1,,,1,,,,,,1,,,,,1,
Waze,Navigation Application,56,1,,,,1,,,1,,,,1,,,,1
8Coupon,Location based deal collecter,57,,1,,1,,,,,,1,,,,,1,
Causes.com,Platform for social change,58,1,,,,,1,,,1,,,1,,,,1
Hootesuite,Social Media Dashboard,59,1,,,,,,1,,1,1,,,,,1,
Change.org,Platform for social change,60,1,,,,,1,,,1,,,1,,,,1
Guifinet,"Free, Open, neutral wireless community network",61,1,,,,,,,,,,,,,,,
Youtube,Video Sharing website ,62,1,,,,,,1,,,,,1,,,,1
Research Gate,Online network for science and research,63,1,,,,1,,,1,,,,1,1,,,1
Baidu,Chinese search engine,64,1,,,,,,,,,,,,,,,
TedX,Video Conference Website,65,1,,,,1,,1,,,,,1,1,,,1
Alibaba Group,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,,,,1,,1,1,1,1,,,,,1,
Meet Up,Facilitates off line group meetings,67,1,,,,,,,,1,,,1,,,,1
Yammer,Enterprise social network,68,1,,,,,,1,1,1,,,1,,,,1
RenRen,Chinese social network forum,69,1,,,,,,1,1,1,,,1,,,,1
Crowdgather,"Network of online, forum based communities",70,1,,,,,,1,,1,,,1,,,,1
Quirky,,71,1,,,,1,,,,,,1,,,,,1
Shapeways,,72,1,,,,1,,,,,,,1,,,,1
,,,Crowd Sourced,,Money,Property,Knowledge,Service,Media,Data,Relationships,Service,Marketplace,Platform,Commons / Access,Occupation / Redistribution ,Upgrade,Producer 
Total,,,54,,6,14,20,10,22,25,25,25,15,29,6,18,27,33
