row,num,Company,Year,Users,Impact,Revenue,Description,Id,CrowdSourced,Centralized,Money,Property,Knowledge_Education,Services,Media_Entertainment,Data,Relationships,Service,Market,Platform,Commons_Access,Occupation_Redistribution,Breaktrough_Upgrade,Producer
1,1,23AndMe,2009,0,0,0,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
2,2,23AndMe,2013,3,4,0,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,3,23AndMe,2010,0,0,0,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
4,4,23AndMe,2011,2,2,0,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
5,5,23AndMe,2012,3,4,0,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
6,6,23AndMe,2008,0,0,0,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
7,7,37signals,2008,0,0,0,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
8,8,37signals,2009,0,1,0,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
9,9,37signals,2013,0,0,0,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10,10,37signals,2010,0,3,0,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
11,11,37signals,2011,0,1,0,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
12,12,37signals,2012,0,1,0,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
13,13,8Coupon,2013,0,0,0,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
14,14,8Coupon,2009,4,4,0,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15,15,8Coupon,2010,1,4,0,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
16,16,8Coupon,2008,0,0,0,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
17,17,8Coupon,2011,4,4,0,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
18,18,8Coupon,2012,0,0,0,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
19,19,AirBNB (2008),2011,4,4,4,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
20,20,AirBNB (2008),2013,2,0,0,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
21,21,AirBNB (2008),2009,0,4,4,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
22,22,AirBNB (2008),2010,4,4,4,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
23,23,AirBNB (2008),2008,0,0,0,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
24,24,AirBNB (2008),2012,4,4,4,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
25,25,Alibaba Group,2008,0,0,0,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
26,26,Alibaba Group,2009,1,2,0,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
27,27,Alibaba Group,2010,1,0,3,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
28,28,Alibaba Group,2011,1,0,3,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
29,29,Alibaba Group,2012,0,0,3,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
30,30,Alibaba Group,2013,0,0,0,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
31,31,Alpe d'Huzes,2009,4,0,3,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
32,32,Alpe d'Huzes,2011,1,0,3,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
33,33,Alpe d'Huzes,2010,4,0,4,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
34,34,Alpe d'Huzes,2008,0,0,0,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
35,35,Alpe d'Huzes,2012,2,0,3,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
36,36,Alpe d'Huzes,2013,0,0,0,Charity Event,19,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
37,37,Ancestry,2011,1,1,2,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
38,38,Ancestry,2008,0,0,0,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
39,39,Ancestry,2009,1,0,1,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
40,40,Ancestry,2010,1,2,1,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
41,41,Ancestry,2012,2,2,1,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
42,42,Ancestry,2013,0,0,0,For Profit Genealogy Company ,17,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
43,43,Android ,2008,0,0,0,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
44,44,Android ,2011,4,4,4,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
45,45,Android ,2009,0,0,0,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
46,46,Android ,2010,0,4,0,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
47,47,Android ,2012,4,1,4,Application Platform,41,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
