,Company,Year,UsersPattern,UsersAbsolute,UsersRelative,ImpactPattern,ImpactAbsolute,ImpactRelative,RevenuePattern,RevenueAbsolute,RevenueRelative,X,Description,Company.ID.Number,CrowdSourced,Centralized,Money,Property,Knowledge,Services,Media,Data,Relationships,Service,Market,Platform,Commons,Redistribution,Breaktrough,Producer
1,23AndMe,2009,NA,NA,NA,NA,NA,NA,NA,12600000,NA,24,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
2,23AndMe,2013,3,350,94,4,315,133,NA,NA,NA,24,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
3,23AndMe,2010,NA,65,NA,NA,43,NA,NA,2.20E+07,NA,24,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
4,23AndMe,2011,2,100,53,2,60,40,NA,NA,NA,24,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
5,23AndMe,2012,3,180,80,4,135,125,NA,5.00E+07,NA,24,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
6,23AndMe,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,Provides rapid genetic testing,25,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
7,37signals,2008,NA,NA,NA,NA,12,NA,NA,8.00E+06,NA,39,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
8,37signals,2009,NA,3.00E+06,NA,1,15,25,NA,1.00E+09,NA,39,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
9,37signals,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10,37signals,2010,NA,NA,NA,3,25,67,NA,NA,NA,39,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
11,37signals,2011,NA,NA,NA,1,34,36,NA,NA,NA,39,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
12,37signals,2012,NA,NA,NA,1,32,NA,NA,NA,NA,39,Web Application Company,40,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
13,8Coupon,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
14,8Coupon,2009,4,770345,30,4,70,300,NA,NA,NA,56,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15,8Coupon,2010,1,1.00E+06,150,4,300,100,NA,NA,NA,56,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
16,8Coupon,2008,NA,60,NA,NA,5,NA,NA,NA,NA,56,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
17,8Coupon,2011,4,2500000,NA,4,600,NA,NA,NA,NA,56,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
18,8Coupon,2012,NA,NA,NA,NA,NA,NA,NA,NA,100,56,Location based deal collecter,57,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
19,AirBNB (2008),2011,4,100,300,4,3100000,490,4,3.40E+07,542,9,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
20,AirBNB (2008),2013,2,500,50,NA,NA,NA,NA,NA,NA,9,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
21,AirBNB (2008),2009,NA,10,NA,4,105,58233,4,1.00E+06,525,9,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
22,AirBNB (2008),2010,4,25,150,4,525,400,4,5300000,430,9,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
23,AirBNB (2008),2008,NA,NA,NA,NA,180,NA,NA,160,NA,9,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
24,AirBNB (2008),2012,4,300,200,4,1.00E+07,223,4,1.90E+08,459,9,Tourism / Hospitality,10,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
25,Alibaba Group,2008,NA,38075335,NA,NA,4614250,NA,NA,NA,NA,65,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
26,Alibaba Group,2009,1,47732916,25,2,6819984,48,NA,9.00E+08,100,65,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
27,Alibaba Group,2010,1,56722482000,19,NA,NA,NA,3,1.60E+09,78,65,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
28,Alibaba Group,2011,1,72777255,28,NA,NA,NA,3,2.90E+09,81,65,Internet-based businesses with a mission to make it easy for anyone to buy or sell anywhere in the world,66,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
