Company,Year,Revenue,Units,Users
AirBnB,2008,160000,,
AirBnB,2009,1000000,105000,10000
AirBnB,2010,5300000,525000,25000
AirBnB,2011,34000000,3100000,100000
AirBnB,2012,190000000,10000000,300000
AirBnB,2013,,,500000
Odesk,2008,4000000,125000,50000
Odesk,2009,6000000,450000,95000
Odesk,2010,11000000,860000,200000
Odesk,2011,20000000,1500000,250000
Odesk,2012,44600000,2700000,540000
Odesk,2013,,3100000,
Evernote,2008,,,500000
Evernote,2009,6500000,4000,2096030
Evernote,2010,9058860,35310,6003130
Evernote,2011,18000000,201308,20000000
Evernote,2012,80000000,750000,41000000
Evernote,2013,,1500000,65000000
Ancestry,2008,181391000,4000000000,911112
Ancestry,2009,207707000,6000000000,1066000
Ancestry,2010,281670000,8000000000,1395000
Ancestry,2011,399589828,11400000000,1680673
Ancestry,2012,487100000,,2500000
Ancestry,2013,,,
Facebook,2008,272000000,130000000,100000
Facebook,2009,777000000,360000000,700000
Facebook,2010,1974000000,608000000,1500000
Facebook,2011,3711000000,845000000,4000000
Facebook,2012,5089000000,1056000000,13000000
Facebook,2013,,1260000000,
Kiva,2008,7100000,50000000,250000
Kiva,2009,9100000,100000000,584189
Kiva,2010,11515298,150000000,370837
Kiva,2011,13582629,240000000,457739
Kiva,2012,17394130,375000000,777946
Kiva,2013,,456754450,938049
Spotify,2008,,,
Spotify,2009,17000000,250000,7000000
Spotify,2010,99100000,650000,1000000
Spotify,2011,244000000,3000000,1500000
Spotify,2012,500000000,5000000,2000000
Spotify,2013,,6000000,2400000
Shutterfly,2008,213480000,759000,2789000
Shutterfly,2009,246432000,7891000,3281000
Shutterfly,2010,307707000,9204000,4069000
Shutterfly,2011,473270000,12340000,5388000
Shutterfly,2012,640624000,16322000,7062000
Shutterfly,2013,,,
