Company,2008,2009,2010,2011,2012,2013
Odesk,"125,000","450,000","860,000","1,500,000","2,700,000","3,100,000"
Kiva ,"50,000,000","100,000,000","150,000,000","240,000,000","375,000,000","456,754,450"
Yammer,"4,000","120,000","320,000","800,000","1,320,000",
Athena Health,"12,000","19,740","26,317","31,675","43,858",
Shutterfly,"7,569,000","7,891,000","9,204,000","12,340,000","16,322,000",
LinkedIN,"30,100,000","50,000,000","90,437,000","144,974,000","201,912,000","240,000,000"
Netflix,"9,164,000","11,892,000","18,268,000","24,305,000","27,613,000","29,200,000"
Facebook,"130,000,000","360,000,000","608,000,000","845,000,000","1,056,000,000","1,260,000,000"
RenRen,"17,000,000","22,000,000","26,000,000","38,000,000","56,000,000","54,000,000"
Yelp,"4,000,000","9,000,000","15,000,000","22,000,000","36,000,000","42,000,000"
AirBNB (2008),180,"105,000","525,000","3,100,000","10,000,000",
Wikipedia,"10,700,000","14,000,000","18,000,000","20,600,000","23,000,000",
Kickstarter,0,0,"3,910","11,836","18,109",
ZipCar,0,0,"8,250",8904,9763,
Evernote,4000,"35,310","201,308","750,000","1,500,000",
Spotify,0,"250,000","650,000","3,000,000","5,000,000","6,000,000"
Salesforce,"51,800","63,000","87,000","104,000",0,
Ancestry,-,"4,000,000,000","6,000,000,000","8,000,000,000","11,400,000,000",
Global Giving,"16,000,000","25,000,000","47,000,000","80,900,000",-,-
Quirky ,,F,"5,928","11,804","78,000","400,000"
Alpe d'Huzes,0,0,0,0,0,
Crowdgather,F,"1,700,000","4,500,000","15,000,000","17,900,000","12,400,000"
Elance,-,"100,000","160,000","650,000","1,500,000","2,850,000"
Survey Monkey,-,"20,000,000","25,000,000","40,000,000","51,000,000","65,000,000"
Plos,"2,800","4,406","6,749","13,789","23,488","66,654"
Crowdflower,,"8,000,000","50,000,000","100,000,000","300,000,000","800,000,000"
DeviantArt,"50,000,000","81,000,000","140,000,000","145,000,000","180,000,000","246,000,000"
Youtube,"100,000,000","1,000,000,000","2,000,000,000","3,000,000,000","4,000,000,000",-
Research Gate,F,"40,000","60,000","27,000,000","45,000,000","50,000,000"
Baidu,"284,000","317,000","412,000","488,000","596,000","878,000"
TedX,-,-,"1,300","12,900","16,500","30,000"
Alibaba Group,"4,614,250","6,819,984",-,-,-,-
Meet Up,"20,000","30,000","68,000",-,"80,000","200,000"
23AndMe,-,-,"43,000","60,000","135,000","315,000"
Twitter,"1,100,000",,"65,000,000","140,000,000","340,000,000","500,000,000"
Patientslikeme,-,-,-,-,1500,2000
Shiply,,,"296,206","500,000","1,000,000","1,887,000"
Skype,"5,800,000","7,300,000","8,800,000",-,-,-
Instragram,-,-,-,-,-,-
Shapeways,100,-,"1,000","4,000","6,000","10,000"
Foursquare,-,F,"381,576,305","750,000,000","3,000,000,000","4,500,000,000"
Pinterest,-,-,F,"418,000","23,525,135","29,632,353"
Docstoc,-,"5,000,000","13,000,000","20,000,000","25,000,000","25,000,000"
Khan Academy ,700,"1,000",2000,"2,600",3400,"3,600"
Dropbox,-,-,-,"2,000,000,000","4,000,000,000","7,000,000,000"
BlaBlaCar (2006),0,"100,000","500,000","1,600,000","2,300,000","3,000,000"
Arduino,"33,788","62,301","84,674","150,000","300,000","1,000,000"
Couchsurfing,"622,000","1,118,249",0,0,"16,000,000",
Sparkfun,1,0,87,120,143,
37signals,12,15,25,34,32,
Android ,0,"7,000,000","66,000,000","237,700,000","295,000,000","1,000,000,000"
Whatsapp,0,0,0,"1,000,000,000","11,000,000,000","27,000,000,000"
Ebay,"87,700,000","90,100,000","94,500,000","100,400,000","123,000,000",
Makerbot,0,1,1,0,4,
Huffington Post,"1,200,000","9,000,000",26.000.000 A/M,"35,600,000","45,000,000",
Etsy,"120,000",0,0,"400,000","800,000","1,000,000"
Taskrabbit,0,100,0,1500,2500,
Fon ,"212,000","1,000,000","3,350,000","4,000,000","5,000,000",
Quora,F,F,"160,000","283,500","792,514",-
Lendingclub,"24,800,000","76,600,000","202,000,000","460,000,000","1,000,000,000",-
Carpooling.com,-,-,-,1.000.000 A/M,-,1300000 A/M
Stack Overflow,F,"2,200,000","4,700,000","8,100,000","13,400,000","17,000,000"
Outbrain,-,-,-,-,-,"90,000"
We Transfer,0,0,0,"65,000,000","204,000,000",
Layar,0,0,0,"18,000,000","29,000,000",
Waze,-,-,-,-,-,"90,000,000"
Guifinet,"5,600","8,800","10,600","15,000","19,000","22,000"
Change.org,-,-,-,"120,000","350,000","600,000"
Hootesuite,-,-,-,-,-,-
Causes.com,-,"270,000",-,-,"650,000",-
8Coupon,"5,000","70,000","300,000","600,000",-,-
