Company,Description,Money,Property ,Knowledge ,Service,IP.Media,CC.Media, Data ,Relationships,Service,Market ,Platform,Access,Occupation,Contribution 
Odesk,Global Job Market Place,,,1,,,,,,,1,,,1,
Kiva ,P2P Lending Company,1,,,,,,,,,1,,,1,
Athena Health,Healthcare business services,,,,,,,1,,1,,,1,,
Shutterfly,Online Photo Service,,,,,,1,,,1,,,1,,
LinkedIN,Social Network For Professionals,,,,,,,,1,,,1,,,1
Netflix,Online TV Service,,,,,1,,,,1,,,1,,
Facebook,Network site,,,,,,,,1,,,1,,,1
Yelp,Online review platform,,,1,,,,,,,1,,,1,
AirBNB (2008),Tourism / Hospitality,,1,,,,,,,,1,,,1,
Wikipedia,Digital Enclyclopedia ,,,1,,,,,,,,1,,,1
Kickstarter,Digital crowdfunding,1,,,,,,,,,1,,,1,
ZipCar,Car Sharing Platform,,1,,,,,,,1,,,1,,
Evernote,Digital Notebook,,,,,,1,,,1,,,1,,
Spotify,Online Music Service,,,,,1,,,,1,,,1,,
Salesforce,Cloudcomputing,,,,,,,,1,1,,,1,,
Ancestry,For Profit Genealogy Company ,,,,,,,1,,1,,,1,,
Global Giving,Micro Credit Lending Club,1,,,,,,,,,1,,,1,
Elance,Online platform for work,,,1,,,,,,,1,,,1,
Survey Monkey,Survey Monkey,,,,,,,1,,1,,,1,,
Plos,Open Source Journal,,,1,,,,,,,,1,,,1
Crowdflower,Online P2P task platform,,,,1,,,,,,1,,,1,
DeviantArt,Online artwork community,,,,,,1,,,,,1,,,1
23AndMe,Provides rapid genetic testing,,,,,,,1,,,1,,,1,
Twitter,Social Micro Blogging website,,,,,,1,,,,,1,,,1
Patientslikeme,Platform people physical problems,,,,,,,1,,,,1,,,1
Shiply,Transporting ,,1,,,,,,,,1,,,1,
Skype,Online Communicating Platform,,,,,,,,1,,1,,,1,
Instragram,Photo Application,,,,,,1,,,,,1,,,1
Foursquare,Locations Based Services,,,,,,1,,,,,1,,,1
Pinterest,Photo-sharing website ,,,,,,1,,,,,1,,,1
Docstoc,File Sharing Website,,,,,,,1,,,1,,,1,
Khan Academy ,Online education program,,,1,,,,,,1,,,1,,
Dropbox,File Sharing Cloud,,,,,,,1,,,1,,,1,
BlaBlaCar (2006),Travelling / Mobility ,,1,,,,,,,,1,,,1,
Arduino,OSHW project,,,1,,,,,,,,1,,,1
Couchsurfing,Hospitality / Tourism,,1,,,,,,,,,1,,,1
Sparkfun,OSHW webshop,,1,,,,,,,,,1,,,1
37signals,Web Application Company,,1,,,,,,,,,1,,,1
Android ,Application Platform,,,1,,,,,,,,1,,,1
Whatsapp,Application ,,,,,,,,1,,1,,,1,
Ebay,E-Commerce Website,,1,,,,,,,,1,,,1,
Makerbot,Desktop 3D printing,,1,,,,,,,1,,,1,,
Huffington Post,Online News Aggregretor,,,1,,,,,,,1,,,1,
Etsy,E-Commerce Website,,1,,,,,,,,1,,,1,
Taskrabbit,Online p2p platform,,,,1,,,,,,1,,,1,
Fon ,"""Flexible"" Wifi provider",,1,,,,,,,1,,,1,,
Quora,Questions and Answers,,,1,,,,,,,,1,,,1
Lendingclub,P2P Lending Company,1,,,,,,,,,1,,,1,
Carpooling.com,Ride Sharing,,1,,,,,,,,1,,,1,
Stack Overflow,Questions and Answers,,,1,,,,,,,,1,,,1
Outbrain,Content recommendation service,,,,,,,1,,,1,,,1,
We Transfer,Digital filesending website,,,,,,,1,,,1,,,1,
Layar,Augmented Reality App,,,,,,,1,,,1,,,1,
Waze,Navigation Application,,,1,,,,,,,,1,,,1
8Coupon,Location based deal collecter,,,1,,,,,,,1,,,1,
Causes.com,Platform for social change,,,,1,,,,,,,1,,,1
Hootesuite,Social Media Dashboard,,,,,,1,,,1,,,1,,
Change.org,Platform for social change,,,,1,,,,,,1,,,1,
Guifinet,"Free, Open, neutral wireless community network",,1,,,,,,,,,1,,,1
Youtube,Video Sharing website ,,,,,,1,,,,,1,,,1
Research Gate,Online network for science and research,,,1,,,,,,,,1,,,1
TedX,Video Conference Website,,,1,,,,,,,,1,,,1
Meet Up,Facilitates off line group meetings,,,,,,,,1,,1,,,1,
Yammer,Enterprise social network,,,,,,,,1,,,1,,,1
RenRen,Chinese social network forum,,,,,,,,1,,,1,,,1
Crowdgather,"Network of online, forum based communities",,,,,,,,1,,,1,,,1
Quirky,,,,1,,,,,,,,1,,,1
Shapeways,,,1,,,,,,,,,1,,,1
