Company,Input,Output,Roles
Instragram,CC.Media,Platform,Occupation
Spotify,IP.Media,Service,Contribution
Quora,Knowledge,Platform,Contribution
Evernote,CC.Media,Service,Contribution
Research Gate,Knowledge,Platform,Contribution
Plos,Knowledge,Platform,Occupation
Pinterest,CC.Media,Platform,Access
Global Giving,Money,Market,Occupation
Wikipedia,Knowledge,Platform,Access
Crowdflower,Services,Market,Occupation
Shapeways,Property,Platform,Contribution
Foursquare,CC.Media,Platform,Access
AirBNB (2008),Property,Market,Occupation
Hootesuite,CC.Media,Service,Access
Guifinet,Property,Platform,Contribution
We Transfer,Data,Market,Access
Stack Overflow,Knowledge,Platform,Contribution
Whatsapp,Relationships,Market,Occupation
Elance,Knowledge,Market,Occupation
Waze,Knowledge,Platform,Occupation
Kiva ,Money,Market,Occupation
Docstoc,Data,Market,Occupation
Meet Up,Relationships,Market,Occupation
Kickstarter,Money,Market,Occupation
Khan Academy ,Knowledge,Service,Access
Athena Health,Data,Service,Contribution
Quirky,Knowledge,Platform,Contribution
LinkedIN,Relationships,Platform,Occupation
Fon ,Property,Service,Access
Arduino,Knowledge,Platform,Contribution
Outbrain,Data,Market,Occupation
Ancestry,Data,Service,Contribution
Facebook,Relationships,Platform,Access
Odesk,Knowledge,Market,Occupation
Lendingclub,Money,Market,Occupation
Dropbox,Data,Market,Occupation
Etsy,Property,Market,Occupation
Shiply,Property,Market,Occupation
Android ,Knowledge,Platform,Contribution
Survey Monkey,Data,Service,Contribution
Salesforce,Relationships,Service,Contribution
Yelp,Knowledge,Market,Occupation
Netflix,IP.Media,Service,Contribution
BlaBlaCar (2006),Property,Market,Occupation
Couchsurfing,Property,Platform,Contribution
Youtube,CC.Media,Platform,Unknown
Ebay,Property,Market,Occupation
TedX,Knowledge,Platform,Contribution
Causes.com,Services,Platform,Contribution
Sparkfun,Property,Platform,Contribution
Yammer,Relationships,Platform,Contribution
Makerbot,Property,Service,Access
Crowdgather,Relationships,Platform,Contribution
23AndMe,Data,Market,Contribution
37signals,Property,Platform,Contribution
Huffington Post,Knowledge,Market,Occupation
Change.org,Services,Market,Occupation
Carpooling.com,Property,Market,Occupation
Twitter,CC.Media,Platform,Unknown
RenRen,Relationships,Platform,Contribution
Taskrabbit,Services,Market,Occupation
8Coupon,Knowledge,Market,Occupation
Patientslikeme,Data,Platform,Unknown
Skype,Relationships,Market,Contribution
DeviantArt,CC.Media,Platform,Unknown
ZipCar,Property,Service,Contribution
Shutterfly,CC.Media,Service,Contribution
Layar,Data,Market,Occupation
