Company,2008,2009,2010,2011,2012
Odesk,"4,000,000","6,000,000","11,000,000","20,000,000","44,600,000"
Kiva ,"7,100,000","9,100,000","11,515,298","13,582,629","17,394,130"
Athena Health,"136,282,000","188,527,000","237,145,000","324,067,000","422,271,000"
Shutterfly,"213,480,000","246,432,000","307,707,000","473,270,000","640,624,000"
Netflix,"1,364,661,000","1,670,269,000","2,162,625,000","3,204,577,000","3,609,282,000"
Facebook,"272,000,000","777,000,000","1,974,000,000","3,711,000,000","5,089,000,000"
AirBNB (2008),"160,000","1,000,000","5,300,000","34,000,000","190,000,000"
Wikipedia,"70,060,610","86,710,000","165,780.000","247,850,000","380,480,000"
Kickstarter,0,0,"1,381,915","4,967,219","15,985,334"
ZipCar,"105,969,000","131,182,000","186,101,000","241,600,000","278,900,000"
Evernote,0,"6,500,000","9,058,860","18,000,000","80,000,000"
Spotify,"-4,400,000","17,000,000","99,100,000","244,000,000","500,000,000"
Salesforce,"748,000,000","1,076,769,000","1,305,583,000","1,675,139,000","2,266,539,000"
Ancestry,"181,391,000","207,707,000","281,670,000","399,589,828","487,100,000"
Global Giving,"10,042,543","10,310,532","14,378,146","22,238,101","22,238,101"
Alpe d'Huzes,"3,376,500","5,745,222","12,027,926","20,040,141","32,231,747"
Yelp,"12,140,000","25,810,000","47,731,000","83,285","137,567,000"
LinkedIN,"78,773,000","120,127,000","243,099,000","522,189,000","972,309,000"
Quirky ,0,0,"1,000,000","6,500,000","19,500,000"
