Company,2008,2009,2010,2011,2012,2013
Odesk,"50,000","95,000","200,000","250,000","540,000",540000
Kiva ,"250,000","584,189","370,837","457,739","777,946","1,050,587"
Athena Health,"9,778","13,200",13200,"20,824","25,000","43,858"
Shutterfly,"2,789,000","3,281,000","4,069,000","5,388,000","7,062,000","7,062,000"
Netflix,"9,390,000","12,268,000","20,010,000","26,253,000","33,000,000","38,000,000"
Facebook,"100,000","700,000","1,500,000","4,000,000","13,000,000","13,000,000"
AirBNB (2008),0,"10,000","25,000","100,000","300,000","500,000"
Wikipedia,0,"342,123,000","414,000,000","454,000,000","500,000,000","500,000,000"
Kickstarter,0,0,"11,130","27,086","41,765","41,765"
ZipCar,"225,000","325,000","540,484","673,257","777,689","810,000"
Evernote,"500,000","2,096,030","6,003,130","20,000,000","41,000,000","65,000,000"
Spotify,0,"7,000,000","10,000,000","15,000,000","20,000,000","24,000,000"
Salesforce,"1,100,000","1,700,000","2,100,000",3.000.000,"5,800,000","5,800,000"
Ancestry,"911,112","1,066,000","1,395,000","1,680,673","2,500,000","2,500,000"
Global Giving,"440,000","790,000","1,340,000","2,270,000","2,270,000","2,270,000"
Alpe d'Huzes,100,1300,4300,4661,8000,8000
Yelp,"15,000,000","25,000,000","41,000,000","66,000,000","86,000,000","108,000,000"
LinkedIN,"11,900,000","20,000,000","52,000,000","84,000,000","126,000,000","140,000,000"
Quirky ,0,0,100,"78,000","260,000","400,000"
