Company,Description,Capital,,Human Resources,,,,,Available Resources,,
,,Money,Assets,Personal Property,Personal Knowledge,Personal Service,Personal Data,Personal Relationships,Idle,Libre ,
Odesk,Global Job Market Place,,,,1,1,,,1,,
Kiva ,P2P Lending Company,1,,1,,,1,,1,,Peronal Data = Reputation is king in getting loans
Athena Health,Healthcare business services,,1,,1,,1,,,1,
Shutterfly,Online Photo Service,,,,,,1,1,,,
LinkedIN,Social Network For Professionals,,,,1,,1,1,,1,Libre = Premium Model?
Netflix,Online TV Service,,,,,,,,,,
Facebook,Network site,,,,,,1,1,,,
Yelp,Online review platform,,,,1,,,,1,,Idle = Inactive personal knowledge
AirBNB (2008),Tourism / Hospitality,1,1,1,,,,1,1,,
Wikipedia,Digital Enclyclopedia ,,,,1,,1,,1,,Idle = Inactive personal knowledge
Kickstarter,Digital crowdfunding,1,,1,,,1,,1,,Personal Data = Reputation matters in donating money
ZipCar,Car Sharing Platform,,1,,,,,,1,,Idle = Making owning a car useless
Evernote,Digital Notebook,,,,1,,1,,,1,Premium Knowledge 
Spotify,Online Music Service,,1,,,,,,1,1,Libre = Premium Model 
Salesforce,Cloudcomputing,,,,,,,,,1,Cloud (Saas)
Ancestry,For Profit Genealogy Company ,,,,1,,1,,1,,Idle = Making use of un used data
Global Giving,Micro Credit Lending Club,1,,1,,,,,1,,
Alpe d'Huzes,Charity Event,1,,1,,1,,,,,
Elance,Online platform for work,,,,1,1,,,1,,
Survey Monkey,Survey Monkey,,,,1,,1,,1,,Idle = In active knowledge
Plos,Open Source Journal,,,1,1,1,,,,,
Crowdflower,Online P2P task platform,1,,,,1,,,1,,Idle = Un used time
DeviantArt,Online artwork community,,1,1,,,1,,,,
23AndMe,Provides rapid genetic testing,,,1,,,1,,1,,Idle = Using inactive data
Twitter,Social Micro Blogging website,,,,1,,1,1,,,
Patientslikeme,Platform people physical problems,,,,1,,1,,1,,Idle = Using inactive knowledge
Shiply,Transporting ,,1,1,,,,,1,,Idle = Inactive ways of transporting
Skype,Online Communicating Platform,,,,,,,1,,1,Libre = Premium Model 
Instragram,Photo Application,,,,,,1,1,,,
Foursquare,Locations Based Services,,1,1,,,1,,1,,
Pinterest,Photo-sharing website ,,,,,,1,1,,,
Docstoc,File Sharing Website,,,1,,,1,,,1,Libre = Premium Users?
Khan Academy ,Online education program,,,,1,,,,,,
Dropbox,File Sharing Cloud,,,1,,,1,,,1,Libre = Premium Users?
BlaBlaCar (2006),Travelling / Mobility ,,1,1,,1,,,1,,Idle = Un used Space
Arduino,OSHW project,,1,,?,,,,,1,
Couchsurfing,Hospitality / Tourism,,1,1,,,,1,1,,Idle = Un used Space
Sparkfun,OSHW webshop,,1,,,,,,,1,Libre = Make the world of electronics more accessable
37signals,Web Application Company,,,,,,,1,,1,Open Source Applications
Android ,Application Platform,,1,?,,,1,1,,1,If you could define an application as an asset
Whatsapp,Application ,,1,,,,1,1,,,
Ebay,E-Commerce Website,1,,1,,,,,,,
Makerbot,Desktop 3D printing,,1,1,,,,,1,,
Huffington Post,Online News Aggregretor,,1,,1,,,,1,,
Etsy,E-Commerce Website,1,,1,,,,,1,,
Taskrabbit,Online p2p platform,1,,,,1,,,1,,
Fon ,"""Flexible"" Wifi provider",,1,1,,,,,1,1,
Quora,Questions and Answers,,,,1,1,,,1,,
Lendingclub,P2P Lending Company,1,,1,,,,,1,,
Carpooling.com,Ride Sharing,,1,1,,1,,,1,,
Stack Overflow,Questions and Answers,,,,1,1,,,1,,
Outbrain,Content recommendation service,,,,1,,1,,1,1,
We Transfer,Digital filesending website,,,1,,,1,,,,
Layar,Augmented Reality App,,,1,,,,,1,,
Waze,Navigation Application,,,,1,,1,,1,,
,,Money,Assets,Personal Property,Personal Knowledge,Personal Service,Personal Data,Personal Relationships,Idle,Libre ,
Total,,10,17,21,18,10,24,12,31,14,
