Company,Year,UsersPattern,UsersAbsolute,UsersRelative,ImpactPattern,ImpactAbsolute,ImpactRelative,RevenuePattern,RevenueAbsolute,RevenueRelative
Instragram,2008,,,,,,,,,
Instragram,2009,,,,,,,,,
Instragram,2010,,1000000,,,,,,,
Instragram,2011,4,10000000,900,,,,,,
Instragram,2012,4,100000000,900,,,,,,
Instragram,2013,2,150000000,50,,,,,,
Spotify,2008,,,,,,,,,
Spotify,2009,,7000000,,,250000,,,17000000,
Spotify,2010,2,10000000,43,4,650000,160,4,99100000,483
Spotify,2011,2,15000000,50,4,3000000,362,4,244000000,146
Spotify,2012,1,20000000,33,3,5000000,67,4,500000000,105
Spotify,2013,1,24000000,20,1,6000000,20,,,
Khan Academy,2008,,,,,,,,,
Khan Academy,2009,,,,2,5000000,43,,,
Khan Academy,2010,,250000,,4,13000000,100,,,
Khan Academy,2011,4,3500000,13900,1,20000000,30,,,
Khan Academy,2012,3,6000000,71,1,25000000,31,,,
Khan Academy,2013,,,,1,25000000,6,,,
Quora,2008,,,,,,,,,
Quora,2009,,,,,,,,,
Quora,2010,,1470,,,160000,,,,
Quora,2011,4,547777,37163,3,283500,77,,11000000,
Quora,2012,,,,4,792514,180,,61000000,
Quora,2013,,,,,,,,,
Evernote,2008,,500000,,,4000,,,,
Evernote,2009,4,2096030,319,4,35310,783,,6500000,
Evernote,2010,4,6003130,186,4,201308,470,1,9058000,39
Evernote,2011,4,20000000,233,4,750000,273,3,18000000,99
Evernote,2012,4,41000000,105,4,1500000,100,4,80000000,344
Evernote,2013,2,65000000,59,,,,,,
Research Gate,2008,,,,,,,,,
Research Gate,2009,,140000,,,40000,,,,
Research Gate,2010,4,500000,257,2,60000,50,,,
Research Gate,2011,4,1300000,160,4,27000000,44900,,,
Research Gate,2012,3,2200000,69,3,45000000,67,,,
Research Gate,2013,1,3000000,36,1,50000000,11,,,
Plos,2008,,,,,2800,,,6142000,
Plos,2009,,,,2,4406,57,2,8899000,45
Plos,2010,,,,2,6749,53,2,12995000,46
Plos,2011,,,,4,13789,104,3,22276000,71
Plos,2012,,,,3,23488,70,,,
Plos,2013,,,,4,66654,184,,,
Pinterest,2008,,,,,,,,,
Pinterest,2009,,,,,,,,,
Pinterest,2010,,,,,,,,,
Pinterest,2011,,10400000,,,418000,,,,
Pinterest,2012,4,48700000,368,4,23525135,5528,,,
Pinterest,2013,2,70000000,44,1,29632353,26,,,
RenRen,2008,,33000000,,,17000000,,,13782000,
RenRen,2009,4,83000000,152,1,22000000,29,4,46684000,239
RenRen,2010,1,110000000,33,1,26000000,18,3,76535000,64
RenRen,2011,1,147000000,34,2,38000000,46,2,117967000,54
RenRen,2012,1,178000000,21,2,56000000,47,2,176086000,49
RenRen,2013,1,194000000,9,,54000000,,,,
Guifinet,2008,,,,,5600,,,,
Guifinet,2009,,,,2,8800,57,,,
Guifinet,2010,,,,1,10600,20,,,
Guifinet,2011,,,,2,15000,42,,,
Guifinet,2012,,,,1,19000,27,,,
Guifinet,2013,,,,1,22000,16,,,
Wikipedia,2008,,,,,10700000,,,70060610,
Wikipedia,2009,,342123000,,1,14000000,31,1,86710000,24
Wikipedia,2010,1,414000000,21,1,18000000,29,3,165780000,91
Wikipedia,2011,1,454000000,10,1,20600000,14,2,247850000,50
Wikipedia,2012,1,500000000,10,1,23000000,12,2,380480000,54
Wikipedia,2013,,,,,,,,,
Crowdflower,2008,,,,,,,,,
Crowdflower,2009,,125000,,,8000000,,,,
Crowdflower,2010,4,500000,300,4,50000000,525,,,
Crowdflower,2011,4,1500000,200,4,100000000,100,,,
Crowdflower,2012,3,2500000,67,4,300000000,200,,,
Crowdflower,2013,4,4000000,100,4,800000000,167,,,
Alpe d'Huzes,2008,,100,,,,,,3376500,
Alpe d'Huzes,2009,4,1300,1200,,,,3,5745222,70
Alpe d'Huzes,2010,4,4300,231,,,,4,12027926,109
Alpe d'Huzes,2011,1,4661,8,,,,3,20040141,67
Alpe d'Huzes,2012,3,8000,72,,,,3,32231747,61
Alpe d'Huzes,2013,,,,,,,,,
Stack Overflow,2008,,,,,,,,,
Stack Overflow,2009,,,,,2200000,,,,
Stack Overflow,2010,,,,4,4700000,114,,,
Stack Overflow,2011,,,,3,8100000,72,,,
Stack Overflow,2012,,,,3,13400000,65,,,
Stack Overflow,2013,,,,1,17000000,27,,,
Foursquare,2008,,,,,,,,,
Foursquare,2009,,100000,,,,,,,
Foursquare,2010,4,6000000,5900,,381576305,,,,
Foursquare,2011,4,15000000,150,3,750000000,97,,,
Foursquare,2012,3,25000000,67,4,3000000000,300,,,
Foursquare,2013,3,40000000,60,2,4500000000,50,,,
AirBNB (2008),2008,,,,,180,,,160000,
AirBNB (2008),2009,,10000,,4,105000,58233,4,1000000,525
AirBNB (2008),2010,4,25000,150,4,525000,400,4,5300000,430
AirBNB (2008),2011,4,100000,300,4,3100000,490,4,34000000,542
AirBNB (2008),2012,4,300000,200,4,10000000,223,4,190000000,459
AirBNB (2008),2013,3,500000,67,,,,,,
Crowdgather,2008,,,,,,,,,
Crowdgather,2009,,2900000,,,1700000,,,112546,
Crowdgather,2010,3,5500000,90,4,4500000,165,4,309781,175
Crowdgather,2011,4,15000000,191,4,15000000,233,4,1580957,410
Crowdgather,2012,3,26000000,63,1,17900000,19,1,1932789,22
Crowdgather,2013,,20000000,,,12400000,,,,
We Transfer,2008,,,,,,,,,
We Transfer,2009,,,,,,,,,
We Transfer,2010,,,,,,,,,
