Company,Year,UsersAbsolute,ImpactAbsolute,RevenueAbsolute
Instragram,2008,,,
Instragram,2009,,,
Instragram,2010,1000000,,
Instragram,2011,10000000,,
Instragram,2012,100000000,,
Instragram,2013,150000000,,
Spotify,2008,,,
Spotify,2009,7000000,250000,17000000
Spotify,2010,10000000,650000,99100000
Spotify,2011,15000000,3000000,244000000
Spotify,2012,20000000,5000000,500000000
Spotify,2013,24000000,6000000,
Khan Academy,2008,2,,
Khan Academy,2009,,5000000,
Khan Academy,2010,250000,13000000,
Khan Academy,2011,3500000,20000000,
Khan Academy,2012,6000000,25000000,
Khan Academy,2013,10000000,25000000,
Quora,2008,,,
Quora,2009,,,
Quora,2010,1470,160000,837000
Quora,2011,547777,283500,6446000
Quora,2012,,792514,15979000
Quora,2013,,,
Evernote,2008,500000,4000,
Evernote,2009,2096030,35310,6500000
Evernote,2010,6003130,201308,9058000
Evernote,2011,20000000,750000,18000000
Evernote,2012,41000000,1500000,80000000
Evernote,2013,80000000,,
Research Gate,2008,,,
Research Gate,2009,140000,40000,
Research Gate,2010,500000,60000,
Research Gate,2011,1300000,27000000,
Research Gate,2012,2200000,45000000,
Research Gate,2013,3000000,50000000,
Plos,2008,,2800,6142000
Plos,2009,,4406,8899000
Plos,2010,,6749,12995000
Plos,2011,,13789,22276000
Plos,2012,,23488,
Plos,2013,,66654,
Pinterest,2008,,,
Pinterest,2009,,,
Pinterest,2010,,,
Pinterest,2011,10400000,418000,
Pinterest,2012,48700000,23525135,
Pinterest,2013,70000000,29632353,
Global Giving,2008,44000,16000000,10042543
Global Giving,2009,79000,25000000,10310532
Global Giving,2010,134000,47000000,14378146
Global Giving,2011,270000,80900000,22238101
Global Giving,2012,,,
Global Giving,2013,369412,101899663,
Guifinet,2008,,5600,
Guifinet,2009,,8800,
Guifinet,2010,,10600,
Guifinet,2011,,15000,
Guifinet,2012,,19000,
Guifinet,2013,,22000,
Wikipedia,2008,,11500000,7006061
Wikipedia,2009,342123000,14200000,8671000
Wikipedia,2010,414000000,17000000,16578000
Wikipedia,2011,454000000,20100000,24785000
Wikipedia,2012,500000000,23600000,38048000
Wikipedia,2013,,30435249,
Crowdflower,2008,,,
Crowdflower,2009,125000,8000000,
Crowdflower,2010,500000,50000000,
Crowdflower,2011,1500000,100000000,
Crowdflower,2012,2500000,300000000,
Crowdflower,2013,4000000,800000000,
Shapeways,2008,100,,
Shapeways,2009,,,
Shapeways,2010,50000,1000,
Shapeways,2011,100000,4000,
Shapeways,2012,230000,6000,
Shapeways,2013,300000,13500,
Stack Overflow,2008,,,
Stack Overflow,2009,,2200000,
Stack Overflow,2010,,4700000,
Stack Overflow,2011,,8100000,
Stack Overflow,2012,,13400000,
Stack Overflow,2013,,17000000,
Foursquare,2008,3,,
Foursquare,2009,100000,,
Foursquare,2010,6000000,381576305,
Foursquare,2011,15000000,750000000,
Foursquare,2012,25000000,3000000000,
Foursquare,2013,45000000,4500000000,
AirBNB (2008),2008,,180,160000
AirBNB (2008),2009,10000,105000,1100000
AirBNB (2008),2010,25000,525000,6800000
AirBNB (2008),2011,100000,3100000,28800000
AirBNB (2008),2012,300000,10000000,78900000
AirBNB (2008),2013,500000,15000000,
Crowdgather,2008,,,
Crowdgather,2009,2900000,1700000,112546
Crowdgather,2010,5500000,4500000,309781
Crowdgather,2011,15000000,15000000,1580957
Crowdgather,2012,26000000,17900000,1932789
Crowdgather,2013,20000000,12400000,
We Transfer,2008,,,
We Transfer,2009,,,
We Transfer,2010,,,
We Transfer,2011,,65000000,600000
We Transfer,2012,800000,204000000,8000000
We Transfer,2013,15000000,,
Quirky,2008,,,
Quirky,2009,,,
Quirky,2010,,5928,1000000
Quirky,2011,78000,11804,6500000
Quirky,2012,260000,78000,19500000
Quirky,2013,710000,400000,
Android,2008,,,
Android,2009,,7000000,
Android,2010,200000000,66000000,120000000
Android,2011,10000000000,237700000,341765445
Android,2012,30000000000,295000000,1069725000
Android,2013,48000000000,1000000000,
Whatsapp,2008,,,
Whatsapp,2009,1000000,,
Whatsapp,2010,2000000,,
Whatsapp,2011,20000000,1000000000,
Whatsapp,2012,200000000,11000000000,
Whatsapp,2013,430000000,27000000000,
,2008,,,
,2009,,,
,2010,,,
,2011,,,
,2012,,,
,2013,,,
Elance,2008,,,150000000
Elance,2009,60000,100000,230000000
Elance,2010,110000,160000,300000000
Elance,2011,130000,650000,400000000
Elance,2012,345000,1500000,500000000
Elance,2013,800000,3000000,
Waze,2008,,,
Waze,2009,19000,,
Waze,2010,1000000,,
Waze,2011,10000000,,
Waze,2012,34000000,,
Waze,2013,50000000,,
Docstoc,2008,,700,
Docstoc,2009,1600000,1000,
Docstoc,2010,3000000,2000,
Docstoc,2011,11000000,2600,
Docstoc,2012,30000000,3400,
Docstoc,2013,35000000,4000,
Meet Up,2008,2000000,20000,
Meet Up,2009,4000000,30000,
Meet Up,2010,6100000,68000,
Meet Up,2011,8000000,,
Meet Up,2012,11100000,80000,
Meet Up,2013,15920000,142319,
Kickstarter,2008,,,
Kickstarter,2009,,,
Kickstarter,2010,11130,3910,1381915
Kickstarter,2011,27086,11836,4967219
Kickstarter,2012,41765,18109,15985334
Kickstarter,2013,131970,19911,
Arduino,2008,33788,33788,
Arduino,2009,62301,62301,
Arduino,2010,84674,84674,1000000
Arduino,2011,150000,150000,
Arduino,2012,300000,300000,1500000
Arduino,2013,1000000,1000000,
Athena Health,2008,9788,12000,136282000
