Company,Founded,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Ebay,1995,Revenue,32051000,41370000,86129000,224724000,431424000,748821000,1214100000,2165096000,3271309000,4552401000,5969741000,7672329000,8451261000,8727362000,9156000000,11652000000,14072000000
Wikipedia,2001,Revenue,,,,80129,379088,1508039,7060610,8671000,16578000,24785000,38048000,46069750,,,,,
NetFlix,1997,Revenue,5006000,35894000,75912000,152806000,272434000,506228000,682213000,996660000,1205430000,1364661000,1670269000,2162625000,3204577000,3609282000,,,
Facebook,2004,Revenue,382000,9000000,48000000,153000000,272000000,777000000,1974000000,3711000000,5089000000,6600000000,,,,,,,
Yelp,2004,Revenue,,443000,3745000,12140000,25810000,47731000,83285000,137567000,,,,,,,,,
Ebay,1995,Users,41000,341000,2181000,10006000,22500000,42400000,61700000,94900000,135500000,180600000,171200000,276300000,405300000,,,,
Wikipedia,2001,Users,208,1258,5721,28679,90993,277167,534206,767995,991213,1199801,1398624,1586791,1762027,,,,
NetFlix,1997,Users,107000,292000,456000,857000,1487000,2600000,4200000,6300000,7500000,9390000,12268000,20010000,26253000,33000000,47400000,,
Facebook,2004,Users,1000000,5500000,12000000,50000000,175000000,350000000,608000000,845000000,1056000000,1190000000,,,,,,,
Yelp,2004,Users,500000,1808000,5717000,15736000,26077000,39356000,65796000,86308000,117000000,,,,,,,,
Ebay,1995,Units,289000,4394000,33688000,129560000,264700000,423100000,638300000,971000000,1412800000,1876800000,2365300000,2340500000,3400000000,,,,
Wikipedia,2001,Units,13000,116000,382000,1100000,2700000,5400000,8700000,11500000,14200000,17000000,20100000,23600000,30435249,,,,
NetFlix,1997,Units,,,,14500,18000,35000,55000,70000,90000,,100000,,,,,,
Facebook,2004,Units,,,,98000000,242000000,1000000000,5000000000,7000000000,17500000000,33250000000,,,,,,,
Yelp,2004,Units,12000,611000,1993000,4689000,8834000,15000000,22000000,36000000,47000000,,,,,,,,
